time(mins),Power (kW)
0.041272571,29.84
0.082545142,29.88882166
0.123817713,29.98646497
0.165090284,30.01901274
0.206362855,30.01901274
0.247635426,30.06783439
0.288907997,30.11665605
0.330180567,30.13292994
0.371453138,30.13292994
0.412725709,30.14920382
0.45399828,30.18175159
0.495270851,30.21429936
0.536543422,30.23057325
0.577815993,30.23057325
0.619088564,30.26312102
0.660361135,30.32821656
0.701633706,30.36076433
0.742906277,30.36076433
0.784178848,30.36076433
0.825451419,30.37703822
0.86672399,30.3933121
0.907996561,30.36076433
0.949269132,30.34449045
0.990541702,30.37703822
1.031814273,30.40958599
1.073086844,30.42585987
1.114359415,30.40958599
1.155631986,30.40958599
1.196904557,30.44213376
1.238177128,30.47468153
1.279449699,30.5072293
1.32072227,30.55605096
1.361994841,30.58859873
1.403267412,30.58859873
1.444539983,30.55605096
1.485812554,30.52350318
1.527085125,30.52350318
1.568357696,30.52350318
1.609630267,30.53977707
1.650902837,30.57232484
1.692175408,30.57232484
1.733447979,30.55605096
1.77472055,30.55605096
1.815993121,30.55605096
1.857265692,30.58859873
1.898538263,30.6211465
1.939810834,30.6211465
1.981083405,30.6211465
2.022355976,30.63742038
2.063628547,30.65369427
2.104901118,30.65369427
2.146173689,30.65369427
2.18744626,30.68624204
2.228718831,30.70251592
2.269991402,30.68624204
2.311263972,30.80015924
2.352536543,30.88152866
2.393809114,30.97917197
2.435081685,31.09308917
2.476354256,31.04426752
2.517626827,30.99544586
2.558899398,31.01171975
2.600171969,30.96289809
2.64144454,30.84898089
2.682717111,30.80015924
2.723989682,30.83270701
2.765262253,30.9466242
2.806534824,30.97917197
2.847807395,31.02799363
2.889079966,31.09308917
2.930352537,31.09308917
2.971625107,31.12563694
3.012897678,31.14191083
3.054170249,31.14191083
3.09544282,31.14191083
3.136715391,31.12563694
3.177987962,31.02799363
3.219260533,30.83270701
3.260533104,30.49095541
3.301805675,30.37703822
3.343078246,30.21429936
3.384350817,30.00273885
3.425623388,29.9539172
3.466895959,29.79117834
3.50816853,29.74235669
3.549441101,29.7260828
3.590713672,29.69353503
3.631986242,29.69353503
3.673258813,29.70980892
3.714531384,29.74235669
3.755803955,29.75863057
3.797076526,29.74235669
3.838349097,29.80745223
3.879621668,29.85627389
3.920894239,29.88882166
3.96216681,29.9539172
4.003439381,30.03528662
4.044711952,30.08410828
4.085984523,30.08410828
4.127257094,30.11665605
4.168529665,30.16547771
4.209802236,30.14920382
4.251074807,30.11665605
4.292347377,30.13292994
4.333619948,30.23057325
4.374892519,30.26312102
4.41616509,30.32821656
4.457437661,30.52350318
4.498710232,30.70251592
4.539982803,30.75133758
4.581255374,30.53977707
4.622527945,30.49095541
4.663800516,30.34449045
4.705073087,30.10038217
4.746345658,30.14920382
4.787618229,30.11665605
4.8288908,30.03528662
