Time_mins,power_kw
0.00,58.40
0.03,58.04
0.07,57.68
0.10,55.92
0.14,53.06
0.17,54.56
0.21,53.49
0.24,53.87
0.28,52.68
0.31,51.49
0.35,50.30
0.38,49.11
0.42,47.92
0.45,46.95
0.49,46.95
0.52,47.71
0.56,47.71
0.59,47.71
0.63,46.73
0.66,45.65
0.70,45.22
0.73,45.93
0.77,45.10
0.80,44.60
0.84,44.10
0.87,43.60
0.91,43.10
0.94,42.60
0.98,42.10
1.01,41.60
1.05,41.09
1.08,40.59
1.12,40.09
1.15,41.61
1.19,41.61
1.22,41.61
1.26,41.61
1.29,41.61
1.33,41.61
1.36,41.40
1.40,41.05
1.43,40.69
1.47,40.33
1.50,39.97
1.54,39.62
1.57,39.32
1.61,39.32
1.64,39.32
1.68,39.32
1.71,39.32
1.75,39.32
1.78,39.32
1.82,39.59
1.85,39.94
1.89,40.08
1.92,40.08
1.96,40.25
1.99,40.61
2.03,40.47
2.06,39.40
2.09,40.08
2.13,40.08
2.16,39.32
2.20,39.32
2.23,39.32
2.27,39.65
2.30,40.01
2.34,41.61
2.37,41.61
2.41,39.84
2.44,39.48
2.48,33.02
2.51,32.66
2.55,39.54
2.58,36.33
2.62,34.55
2.65,33.83
2.69,33.16
2.72,32.81
2.76,32.45
2.79,34.38
2.83,34.02
2.86,35.79
2.90,34.36
2.93,36.51
2.97,35.79
3.00,35.50
3.04,35.50
3.07,35.50
3.11,35.50
3.14,35.50
3.18,35.50
3.21,35.50
3.25,35.50
3.28,35.50
3.32,35.50
3.35,35.50
3.39,34.30
3.42,34.66
3.46,36.19
3.49,35.12
3.53,36.10
3.56,34.67
3.60,31.68
3.63,31.68
3.67,34.96
3.70,33.53
3.74,34.06
3.77,34.42
3.81,34.78
3.84,35.13
3.88,35.49
3.91,35.85
3.95,36.20
3.98,36.26
4.02,36.26
4.05,37.01
4.09,38.09
4.12,38.84
4.16,42.06
4.19,42.22
4.22,43.65
4.26,42.47
4.29,42.83
4.33,43.25
4.36,43.96
4.40,44.65
4.43,44.29
4.47,43.94
4.50,43.58
4.54,43.22
4.57,40.89
4.61,35.88
4.64,40.82
4.68,38.32
4.71,39.04
4.75,36.90
4.78,35.14
4.82,31.93
4.85,30.12
4.89,29.94
4.92,29.76
4.96,29.58
4.99,29.41
5.03,31.26
5.06,31.62
5.10,32.74
5.13,33.09
5.17,33.61
5.20,36.47
5.24,35.88
5.27,35.17
5.31,37.03
5.34,37.03
5.38,38.46
5.41,38.10
5.45,44.61
5.48,44.25
5.52,43.90
5.55,38.60
5.59,37.89
5.62,40.83
5.66,39.04
5.69,38.02
5.73,36.23
5.76,36.47
5.80,36.83
5.83,36.70
5.87,35.99
5.90,35.73
5.94,36.44
5.97,31.55
6.01,30.84
6.04,32.38
6.08,30.95
6.11,29.52
6.15,29.01
6.18,30.26
6.22,31.51
6.25,32.77
6.28,31.15
6.32,31.51
6.35,31.68
6.39,31.68
6.42,31.82
6.46,32.18
6.49,30.07
6.53,29.72
6.56,29.47
6.60,30.18
6.63,30.90
6.67,30.78
6.70,32.21
6.74,31.39
6.77,31.03
6.81,44.44
6.84,60.52
6.88,37.91
6.91,35.41
6.95,63.14
6.98,84.94
7.02,86.74
7.05,87.10
7.09,111.71
7.12,110.99
7.16,110.29
7.19,109.93
7.23,109.57
7.26,107.70
7.30,103.05
7.33,111.33
7.37,111.68
7.40,88.05
7.44,105.21
7.47,65.88
7.51,43.36
7.54,32.74
7.58,29.16
7.61,26.42
7.65,26.78
7.68,25.58
7.72,25.58
7.75,25.58
7.79,26.77
7.82,26.41
7.86,24.24
7.89,23.53
7.93,23.62
7.96,21.83
8.00,24.24
8.03,24.60
8.07,22.95
8.10,24.03
8.14,24.91
8.17,25.27
8.21,25.58
8.24,25.58
8.28,25.58
8.31,25.53
8.34,26.24
8.38,25.12
8.41,25.48
8.45,26.08
8.48,25.73
8.52,27.11
8.55,27.11
8.59,26.94
8.62,26.59
8.66,23.60
8.69,22.17
8.73,24.69
8.76,23.97
8.80,23.32
8.83,24.04
8.87,24.75
8.90,22.63
8.94,24.42
8.97,23.77
9.01,23.42
9.04,24.81
9.08,21.24
9.11,23.83
9.15,24.91
9.18,20.90
9.22,22.69
9.25,21.59
9.29,24.09
9.32,26.31
9.36,25.95
9.39,25.59
9.43,25.92
9.46,26.28
9.50,27.11
9.53,27.11
9.57,26.86
9.60,26.50
9.64,26.34
9.67,26.34
9.71,26.34
9.74,26.34
9.78,25.79
9.81,26.50
9.85,26.66
9.88,23.80
9.92,24.04
9.95,23.32
9.99,22.61
10.02,25.24
10.06,23.98
10.09,22.73
10.13,21.48
10.16,21.22
10.20,21.58
10.23,21.93
10.27,22.29
10.30,25.60
10.34,23.46
10.37,20.83
10.41,23.69
10.44,22.50
10.47,22.14
10.51,21.79
10.54,23.23
10.58,20.73
10.61,22.72
10.65,22.00
10.68,21.29
10.72,20.57
10.75,23.67
10.79,25.81
10.82,23.86
10.86,25.29
10.89,23.96
10.93,23.60
10.96,22.48
11.00,22.12
11.03,21.77
11.07,23.70
11.10,23.34
11.14,21.31
11.17,23.46
11.21,20.49
11.24,20.85
11.28,24.61
11.31,24.25
11.35,21.16
11.38,21.52
11.42,24.70
11.45,24.35
11.49,23.42
11.52,24.13
11.56,24.80
11.59,24.44
11.63,24.08
11.66,24.93
11.70,24.21
11.73,21.55
11.77,22.27
11.80,22.83
11.84,22.12
11.87,21.40
11.91,20.69
11.94,24.18
11.98,24.54
12.01,27.11
12.05,27.11
12.08,21.83
12.12,22.55
12.15,23.26
12.19,24.13
12.22,23.41
12.26,22.70
12.29,21.98
12.33,21.52
12.36,21.16
12.40,23.13
12.43,24.20
12.47,25.73
12.50,26.09
12.53,21.66
12.57,21.30
12.60,20.35
12.64,21.06
12.67,22.51
12.71,21.80
12.74,21.08
12.78,21.00
12.81,21.00
12.85,21.00
12.88,21.00
12.92,21.22
12.95,21.58
12.99,23.46
13.02,23.82
13.06,26.46
13.09,26.82
13.13,27.35
13.16,24.85
13.20,20.25
13.23,20.43
13.27,20.61
13.30,20.79
13.34,20.96
13.37,21.29
13.41,21.64
13.44,21.29
13.48,20.57
13.51,21.95
13.55,22.31
13.58,22.38
13.62,22.03
13.65,21.86
13.69,22.21
13.72,23.20
13.76,22.49
13.79,21.77
13.83,22.94
13.86,22.58
13.90,24.05
13.93,25.84
13.97,22.01
14.00,21.30
14.04,26.13
14.07,25.78
14.11,20.32
14.14,20.50
14.18,20.67
14.21,20.85
14.25,21.06
14.28,21.42
14.32,21.78
