Time_mins,power_kw,,,
0.00,0.00,,,
0.06,0.00,,,
0.12,0.00,,,
0.17,0.00,,,
0.23,0.42,,,
0.29,1.83,,,
0.35,2.37,,,
0.40,5.70,,,
0.46,0.30,,,
0.52,9.01,,,
0.58,11.17,,,
0.63,13.33,,,
0.69,13.66,,,
0.75,13.30,,,
0.81,15.46,,,
0.86,12.19,,,
0.92,12.19,,,
0.98,16.38,,,
1.04,58.03,,,
1.09,56.95,,,
1.15,40.64,,,
1.21,57.46,,,
1.27,57.46,,,
1.32,57.46,,,
1.38,57.46,,,
1.44,57.91,,,
1.50,53.85,,,
1.55,53.31,,,
1.61,54.51,,,
1.67,46.14,,,
1.73,46.14,,,
1.78,44.40,,,
1.84,44.40,,,
1.90,47.85,,,
1.96,47.10,,,
2.01,47.64,,,
2.07,48.18,,,
2.13,48.72,,,
2.19,46.14,,,
2.24,45.96,,,
2.30,45.42,,,
2.36,45.18,,,
2.42,45.02,,,
2.47,42.86,,,
2.53,43.31,,,
2.59,41.15,,,
2.65,42.18,,,
2.70,40.76,,,
2.76,40.22,,,
2.82,44.69,,,
2.88,49.01,,,
2.93,53.33,,,
2.99,40.29,,,
3.05,40.83,,,
3.11,81.42,,,
3.16,68.90,,,
3.22,69.44,,,
3.28,92.36,,,
3.34,31.50,,,
3.39,67.17,,,
3.45,49.41,,,
3.51,48.87,,,
3.57,38.95,,,
3.62,48.57,,,
3.68,47.49,,,
3.74,46.71,,,
3.80,46.17,,,
3.85,48.04,,,
3.91,47.88,,,
3.97,47.88,,,
4.03,49.23,,,
4.08,48.73,,,
4.14,48.55,,,
4.20,48.37,,,
4.26,48.19,,,
4.31,48.01,,,
4.37,48.45,,,
4.43,47.36,,,
4.49,47.37,,,
4.54,47.14,,,
4.60,49.31,,,
4.66,49.48,,,
4.72,51.10,,,
4.77,56.17,,,
4.83,56.46,,,
4.89,55.92,,,
4.95,54.51,,,
5.00,55.81,,,
5.06,110.26,,,
5.12,121.30,,,
5.18,132.34,,,
5.24,143.39,,,
5.29,148.39,,,
5.35,153.85,,,
5.41,192.48,,,
5.47,222.94,,,
5.52,225.83,,,
5.58,225.51,,,
5.64,225.51,,,
5.70,225.51,,,
5.75,224.87,,,
5.81,224.19,,,
5.87,223.85,,,
5.93,223.85,,,
5.98,223.79,,,
6.04,223.40,,,
6.10,223.74,,,
6.16,225.27,,,
6.21,224.98,,,
6.27,225.32,,,
6.33,225.04,,,
6.39,224.01,,,
6.44,218.55,,,
6.50,219.12,,,
6.56,217.76,,,
6.62,223.51,,,
6.67,219.42,,,
6.73,217.71,,,
6.79,220.39,,,
6.85,224.15,,,
6.90,220.71,,,
6.96,223.00,,,
7.02,221.29,,,
7.08,222.88,,,
7.13,221.17,,,
7.19,217.18,,,
7.25,220.78,,,
7.31,221.46,,,
7.36,211.72,,,
7.42,216.26,,,
7.48,217.28,,,
7.54,217.21,,,
7.59,218.23,,,
7.65,218.75,,,
7.71,222.30,,,
7.77,222.64,,,
7.82,218.36,,,
7.88,223.85,,,
7.94,223.85,,,
8.00,222.13,,,
8.05,220.76,,,
8.11,219.00,,,
8.17,223.38,,,
8.23,223.72,,,
8.28,219.24,,,
8.34,223.30,,,
8.40,223.65,,,
8.46,223.02,,,
8.51,223.71,,,
8.57,224.12,,,
8.63,225.51,,,
8.69,225.51,,,
8.74,225.51,,,
8.80,225.51,,,
8.86,217.84,,,
8.92,218.89,,,
8.97,209.30,,,
9.03,207.64,,,
9.09,201.20,,,
9.15,200.86,,,
9.20,198.31,,,
9.26,202.58,,,
9.32,194.09,,,
9.38,185.60,,,
9.43,177.11,,,
9.49,168.62,,,
9.55,160.13,,,
9.61,160.18,,,
9.66,160.18,,,
9.72,160.18,,,
9.78,160.64,,,
9.84,159.06,,,
9.89,157.98,,,
9.95,158.78,,,
10.01,159.30,,,
10.07,158.22,,,
10.13,157.79,,,
10.18,158.33,,,
10.24,158.87,,,
10.30,159.02,,,
10.36,157.40,,,
10.41,158.44,,,
10.47,158.44,,,
10.53,157.41,,,
10.59,157.45,,,
10.64,159.62,,,
10.70,157.57,,,
10.76,157.57,,,
10.82,157.57,,,
10.87,157.89,,,
10.93,156.81,,,
10.99,156.70,,,
11.05,158.28,,,
11.10,157.74,,,
11.16,158.95,,,
11.22,158.40,,,
11.28,157.86,,,
11.33,158.57,,,
11.39,156.95,,,
11.45,157.16,,,
11.51,157.70,,,
11.56,158.24,,,
11.62,158.78,,,
11.68,156.71,,,
11.74,157.25,,,
11.79,158.01,,,
11.85,159.09,,,
11.91,158.00,,,
11.97,155.93,,,
12.02,156.47,,,
12.08,156.45,,,
12.14,157.53,,,
12.20,157.05,,,
12.25,156.70,,,
12.31,156.70,,,
12.37,158.04,,,
12.43,159.18,,,
12.48,158.09,,,
12.54,158.13,,,
12.60,159.21,,,
12.66,157.68,,,
12.71,158.28,,,
12.77,157.74,,,
12.83,157.20,,,
12.89,158.32,,,
12.94,156.70,,,
13.00,157.07,,,
13.06,155.99,,,
13.12,157.11,,,
13.17,158.44,,,
13.23,158.44,,,
13.29,158.10,,,
13.35,157.57,,,
13.40,157.57,,,
13.46,157.57,,,
13.52,157.57,,,
13.58,158.00,,,
13.63,158.34,,,
13.69,157.80,,,
13.75,157.26,,,
13.81,156.72,,,
13.86,157.22,,,
13.92,157.38,,,
13.98,156.84,,,
14.04,157.50,,,
14.09,158.37,,,
14.15,157.83,,,
14.21,157.29,,,
14.27,156.75,,,
14.32,158.17,,,
14.38,157.41,,,
14.44,156.87,,,
14.50,158.94,,,
14.55,158.36,,,
14.61,157.28,,,
14.67,156.95,,,
14.73,157.49,,,
14.78,157.11,,,
14.84,156.96,,,
14.90,158.04,,,
14.96,157.04,,,
15.01,155.83,,,
15.07,156.02,,,
15.13,156.20,,,
15.19,156.38,,,
15.25,156.56,,,
15.30,156.74,,,
15.36,156.92,,,
15.42,157.10,,,
15.48,157.28,,,
15.53,157.46,,,
15.59,156.02,,,
15.65,156.56,,,
15.71,158.44,,,
15.76,158.44,,,
15.82,158.44,,,
15.88,156.42,,,
15.94,155.88,,,
15.99,156.32,,,
16.05,156.70,,,
16.11,156.70,,,
16.17,156.70,,,
16.22,156.74,,,
16.28,157.28,,,
16.34,157.07,,,
16.40,155.99,,,
16.45,158.03,,,
16.51,156.97,,,
16.57,158.05,,,
16.63,157.07,,,
16.68,154.99,,,
16.74,156.07,,,
16.80,156.26,,,
16.86,155.18,,,
16.91,155.40,,,
16.97,155.63,,,
17.03,154.55,,,
17.09,156.14,,,
17.14,156.68,,,
17.20,157.57,,,
17.26,156.02,,,
17.32,156.56,,,
17.37,156.30,,,
17.43,155.76,,,
17.49,155.22,,,
17.55,155.24,,,
17.60,155.78,,,
17.66,157.20,,,
17.72,158.12,,,
17.78,157.04,,,
17.83,156.70,,,
