Time_mins,power_kw
0.00,37.53
0.04,36.98
0.08,35.87
0.12,36.42
0.16,34.98
0.21,33.88
0.25,34.77
0.29,34.77
0.33,34.77
0.37,34.77
0.41,34.77
0.45,34.77
0.49,34.77
0.54,34.77
0.58,35.10
0.62,35.65
0.66,35.19
0.70,34.77
0.74,34.77
0.78,34.77
0.82,34.77
0.86,34.77
0.91,34.77
0.95,34.77
0.99,35.07
1.03,35.62
1.07,35.45
1.11,35.18
1.15,34.91
1.19,35.05
1.24,35.60
1.28,35.08
1.32,35.44
1.36,35.81
1.40,36.17
1.44,36.54
1.48,36.46
1.52,36.28
1.57,36.10
1.61,35.92
1.65,35.73
1.69,35.20
1.73,35.69
1.77,35.69
1.81,35.69
1.85,35.69
1.89,35.28
1.94,34.79
1.98,35.07
2.02,35.34
2.06,35.62
2.10,35.29
2.14,34.80
2.18,35.35
2.22,35.67
2.27,35.61
2.31,35.55
2.35,35.49
2.39,35.42
2.43,35.36
2.47,35.30
2.51,35.24
2.55,35.18
2.59,35.12
2.64,35.06
2.68,35.00
2.72,34.94
2.76,34.88
2.80,34.81
2.84,35.22
2.88,33.57
2.92,31.67
2.97,31.12
3.01,31.26
3.05,31.44
3.09,31.62
3.13,31.81
3.17,31.99
3.21,32.01
3.25,31.21
3.29,31.76
3.34,32.31
3.38,32.86
3.42,32.69
3.46,32.41
3.50,32.14
3.54,31.72
3.58,31.17
3.62,31.09
3.67,31.09
3.71,31.09
3.75,31.36
3.79,31.91
3.83,32.01
3.87,32.01
3.91,32.01
3.95,32.01
3.99,32.01
4.04,32.01
4.08,31.09
4.12,31.09
4.16,31.09
4.20,31.09
4.24,32.01
4.28,32.01
4.32,32.01
4.37,31.32
4.41,31.87
4.45,32.41
4.49,32.01
4.53,32.01
4.57,31.79
4.61,31.24
4.65,31.22
4.70,31.40
4.74,31.58
4.78,31.77
4.82,31.95
4.86,31.63
4.90,31.10
4.94,32.20
4.98,32.56
5.02,31.46
5.07,32.01
5.11,32.01
5.15,32.01
5.19,31.42
5.23,32.52
5.27,32.58
5.31,32.03
5.35,32.53
5.40,32.78
5.44,32.23
5.48,32.34
5.52,32.89
5.56,32.93
5.60,32.79
5.64,32.24
5.68,31.90
5.72,31.72
5.77,31.54
5.81,31.35
5.85,31.17
5.89,32.16
5.93,32.43
5.97,32.71
6.01,32.01
6.05,32.01
6.10,35.06
6.14,35.60
6.18,64.34
6.22,70.12
6.26,77.82
6.30,69.88
6.34,68.23
6.38,54.18
6.42,55.49
6.47,52.20
6.51,40.04
6.55,39.49
6.59,40.08
6.63,39.80
6.67,39.53
6.71,40.30
6.75,40.30
6.80,40.30
6.84,40.30
6.88,40.30
6.92,40.30
6.96,40.30
7.00,39.37
7.04,34.83
7.08,35.93
7.13,33.35
7.17,34.44
7.21,34.38
7.25,33.83
7.29,33.28
7.33,33.85
7.37,33.85
7.41,33.85
7.45,33.85
7.50,33.85
7.54,33.11
7.58,33.66
7.62,32.93
7.66,32.93
7.70,32.93
7.74,33.09
7.78,33.64
7.83,33.85
7.87,33.85
7.91,33.85
7.95,36.95
7.99,48.49
8.03,48.44
8.07,62.17
8.11,75.49
8.15,99.63
8.20,101.28
8.24,144.38
8.28,149.33
8.32,148.96
8.36,148.96
8.40,148.96
8.44,146.30
8.48,141.36
8.53,74.81
8.57,42.95
8.61,52.29
8.65,43.26
8.69,45.45
8.73,44.44
8.77,44.90
8.81,44.90
8.85,44.90
8.90,44.90
8.94,44.01
8.98,43.55
9.02,40.26
9.06,40.30
9.10,40.30
9.14,39.44
9.18,39.35
9.23,39.07
9.27,38.80
9.31,38.52
9.35,37.53
9.39,37.53
9.43,37.53
9.47,37.53
9.51,37.53
9.55,37.93
9.60,39.34
9.64,58.58
9.68,59.52
9.72,111.17
9.76,77.22
9.80,103.78
9.84,98.26
9.88,88.87
9.93,86.67
9.97,88.02
10.01,101.17
10.05,171.66
10.09,216.81
10.13,216.81
10.17,217.48
10.21,218.52
10.26,218.23
10.30,216.91
10.34,217.26
10.38,216.12
10.42,215.95
10.46,215.78
10.50,216.05
10.54,215.35
10.58,216.03
10.63,215.68
10.67,215.02
10.71,214.48
10.75,214.48
10.79,213.99
10.83,214.17
10.87,214.34
10.91,214.55
10.96,214.90
11.00,214.26
11.04,214.96
11.08,209.18
11.12,208.16
11.16,205.38
11.20,203.17
11.24,200.39
11.28,200.79
11.33,198.58
11.37,197.54
11.41,197.15
11.45,197.50
11.49,197.29
11.53,195.78
11.57,195.43
11.61,195.39
11.66,195.74
11.70,196.09
11.74,194.62
11.78,194.27
11.82,194.21
11.86,194.56
11.90,194.39
11.94,194.14
11.98,195.18
12.03,195.75
12.07,195.58
12.11,195.40
12.15,194.64
12.19,194.29
12.23,194.19
12.27,194.54
12.31,194.59
12.36,194.51
12.40,194.42
12.44,194.33
12.48,194.24
12.52,194.16
12.56,194.07
12.60,194.82
12.64,195.00
12.69,195.17
12.73,194.65
12.77,194.65
12.81,195.57
12.85,195.23
12.89,195.23
12.93,195.50
12.97,194.98
13.01,194.46
13.06,194.65
13.10,194.65
13.14,194.65
13.18,194.65
13.22,195.28
13.26,195.16
13.30,194.81
13.34,195.44
13.39,194.74
13.43,193.49
13.47,194.07
13.51,194.07
13.55,194.25
13.59,194.60
13.63,194.94
13.67,194.13
13.71,194.47
13.76,194.65
13.80,194.65
13.84,194.94
13.88,194.07
13.92,194.07
13.96,193.75
14.00,193.05
14.04,193.35
14.09,193.17
14.13,193.00
14.17,193.36
14.21,194.40
14.25,193.75
14.29,194.71
14.33,195.41
14.37,196.54
14.41,196.89
14.46,195.97
14.50,196.32
14.54,194.93
14.58,195.37
14.62,195.72
14.66,195.48
14.70,195.81
14.74,195.46
14.79,194.41
14.83,193.71
14.87,194.19
14.91,195.23
14.95,194.18
14.99,194.43
15.03,193.73
15.07,195.23
15.12,195.23
15.16,195.57
15.20,194.45
15.24,193.75
15.28,193.96
15.32,193.79
15.36,193.61
15.40,193.58
15.44,193.93
15.49,193.86
15.53,193.51
15.57,193.80
15.61,194.07
15.65,194.07
15.69,194.46
15.73,195.16
15.77,196.13
15.82,195.23
15.86,195.23
15.90,194.26
15.94,194.60
15.98,194.94
16.02,195.82
16.06,195.82
16.10,195.82
16.14,195.82
16.19,196.11
16.23,196.38
16.27,196.27
16.31,196.15
16.35,196.04
16.39,195.92
16.43,196.18
16.47,194.44
16.52,195.61
16.56,193.87
16.60,193.84
16.64,192.94
16.68,193.29
16.72,192.75
16.76,192.41
16.80,193.10
16.84,192.98
16.89,194.02
16.93,194.21
16.97,194.56
17.01,194.81
17.05,195.20
17.09,194.51
17.13,193.74
17.17,194.44
17.22,196.40
17.26,195.83
17.30,196.53
17.34,195.58
17.38,194.88
17.42,194.88
17.46,195.23
17.50,194.89
17.54,195.71
17.59,195.36
17.63,194.74
17.67,195.78
17.71,195.15
17.75,195.68
17.79,196.20
17.83,196.03
17.87,196.38
17.92,196.08
17.96,195.82
18.00,195.82
18.04,196.78
18.08,196.43
18.12,194.92
18.16,195.90
18.20,196.25
18.25,195.04
18.29,195.73
18.33,195.51
18.37,196.33
18.41,195.98
18.45,195.42
18.49,195.77
18.53,196.25
18.57,196.08
18.62,195.91
18.66,195.64
18.70,195.30
18.74,195.25
18.78,195.21
18.82,195.04
18.86,194.86
18.90,194.69
18.95,194.07
18.99,194.28
19.03,196.02
19.07,196.56
19.11,196.90
19.15,197.25
19.19,196.37
19.23,196.02
19.27,195.82
19.32,195.82
19.36,195.30
19.40,195.71
19.44,193.97
19.48,194.25
19.52,193.20
19.56,190.90
19.60,191.14
19.65,190.79
19.69,191.03
19.73,190.68
19.77,173.85
19.81,163.82
19.85,163.48
19.89,162.75
19.93,160.27
19.97,159.35
20.02,158.25
20.06,158.23
20.10,158.03
20.14,158.43
20.18,158.76
20.22,158.52
20.26,158.48
20.30,158.14
20.35,158.18
20.39,158.46
20.43,158.90
20.47,158.34
20.51,158.32
20.55,158.85
20.59,158.89
20.63,158.32
20.68,158.19
20.72,159.36
20.76,159.77
20.80,159.32
20.84,158.27
20.88,159.24
20.92,156.44
20.96,159.41
21.00,161.85
21.05,161.85
21.09,162.31
21.13,161.02
21.17,161.57
21.21,162.12
21.25,162.67
21.29,162.32
21.33,161.93
21.38,162.47
21.42,162.01
21.46,160.36
21.50,160.44
21.54,160.87
21.58,160.32
21.62,160.25
21.66,160.80
21.70,161.35
21.75,161.89
21.79,162.44
21.83,160.23
21.87,160.78
21.91,160.81
21.95,162.77
21.99,162.77
22.03,164.40
22.08,163.85
22.12,163.30
22.16,163.71
22.20,164.26
22.24,163.69
22.28,163.69
22.32,164.06
22.36,162.77
22.40,162.77
22.45,162.77
22.49,162.77
22.53,162.41
22.57,161.86
22.61,162.92
22.65,162.69
22.69,162.41
22.73,162.14
22.78,161.86
22.82,162.13
22.86,160.93
22.90,160.93
22.94,162.17
22.98,162.72
23.02,163.27
23.06,163.69
23.10,163.69
23.15,163.38
23.19,162.83
23.23,163.45
23.27,163.17
23.31,162.90
23.35,162.77
23.39,162.77
23.43,162.77
23.48,164.31
23.52,162.66
23.56,162.13
23.60,162.68
23.64,162.31
23.68,161.94
23.72,162.49
23.76,162.51
23.81,161.96
23.85,162.29
23.89,162.77
23.93,162.77
23.97,162.35
24.01,163.45
24.05,162.98
24.09,163.26
24.13,163.53
24.18,163.24
24.22,164.34
24.26,164.61
24.30,164.53
24.34,163.43
24.38,163.03
24.42,161.39
24.46,162.37
24.51,161.85
24.55,161.85
24.59,162.97
24.63,163.52
24.67,163.69
24.71,163.68
24.75,163.13
24.79,162.68
24.83,162.40
24.88,162.13
24.92,161.85
24.96,162.39
25.00,162.60
25.04,162.05
25.08,162.20
25.12,162.75
25.16,162.24
25.21,161.85
25.25,161.85
25.29,162.18
25.33,162.73
25.37,161.74
25.41,161.21
25.45,162.31
25.49,161.85
25.53,161.85
25.58,161.85
25.62,161.85
25.66,161.85
25.70,161.85
25.74,161.85
25.78,162.53
25.82,162.25
25.86,161.98
25.91,162.77
25.95,162.77
25.99,162.30
26.03,163.69
26.07,163.69
26.11,163.69
26.15,163.69
26.19,162.77
26.24,162.77
26.28,162.77
26.32,163.43
26.36,162.88
26.40,161.89
26.44,162.70
26.48,162.15
26.52,161.60
26.56,161.06
26.61,160.51
26.65,160.11
26.69,161.21
26.73,160.69
26.77,162.34
26.81,162.05
26.85,162.33
26.89,162.60
26.94,162.98
26.98,163.53
27.02,163.69
27.06,163.69
27.10,163.69
27.14,163.69
27.18,163.69
27.22,163.31
27.26,162.77
27.31,162.77
27.35,162.77
27.39,162.77
27.43,162.77
27.47,162.77
27.51,162.23
27.55,162.02
27.59,162.57
27.64,163.12
27.68,163.67
27.72,162.64
27.76,162.77
27.80,162.77
27.84,162.77
27.88,162.77
27.92,162.77
27.96,162.91
28.01,163.46
28.05,163.38
28.09,162.83
28.13,162.77
28.17,162.77
28.21,162.77
28.25,162.77
28.29,162.77
28.34,162.77
28.38,162.77
28.42,162.77
28.46,163.83
28.50,164.11
28.54,164.38
28.58,164.43
28.62,163.33
28.66,163.42
28.71,162.87
28.75,164.11
28.79,165.46
28.83,164.91
28.87,164.10
28.91,163.00
28.95,161.42
28.99,162.71
29.04,162.16
29.08,161.85
29.12,161.85
29.16,161.85
29.20,161.89
29.24,162.44
29.28,162.55
29.32,162.00
29.37,164.09
29.41,164.52
29.45,162.87
29.49,163.07
29.53,161.42
29.57,161.31
29.61,161.83
29.65,161.28
29.69,161.12
29.74,161.67
29.78,162.22
29.82,162.77
29.86,162.58
29.90,163.51
29.94,162.96
29.98,163.13
30.02,163.68
30.07,162.24
30.11,162.01
30.15,162.56
30.19,162.43
30.23,161.88
30.27,163.29
30.31,163.84
30.35,164.39
30.39,163.69
30.44,163.69
30.48,163.69
30.52,164.35
30.56,163.25
30.60,162.77
30.64,162.77
30.68,162.77
30.72,162.65
30.77,162.10
30.81,163.54
30.85,163.27
30.89,162.99
30.93,162.77
30.97,162.77
31.01,163.33
31.05,164.43
31.09,164.15
31.14,162.86
31.18,163.41
31.22,163.43
31.26,162.88
31.30,162.33
31.34,161.87
31.38,162.06
31.42,162.24
31.47,162.42
31.51,162.61
31.55,162.71
31.59,162.16
31.63,163.69
31.67,163.69
31.71,163.69
31.75,162.81
31.80,163.36
31.84,163.91
31.88,164.46
31.92,163.17
31.96,162.77
32.00,162.77
32.04,162.26
32.08,163.36
32.12,162.99
32.17,163.70
32.21,164.25
32.25,164.42
32.29,163.87
32.33,163.32
32.37,162.78
32.41,161.47
32.45,162.94
32.50,163.49
32.54,162.99
32.58,161.89
32.62,163.30
32.66,163.38
32.70,162.28
32.74,162.02
32.78,162.29
32.82,162.57
