Time_mins,power_kW
0.00,8.606857143
0.06,14.41612867
0.13,11.88079659
0.19,16.96390918
0.26,22.81882498
0.32,22.45574551
0.39,22.18810407
0.45,24.30641343
0.51,24.6694929
0.58,27.26914191
0.64,26.90606244
0.71,27.01187417
0.77,27.37495364
0.84,27.73803311
0.90,27.96003027
0.96,27.5969508
1.03,27.404
1.09,27.404
1.16,26.77742857
1.22,26.15085714
1.28,26.15085714
1.35,26.15085714
1.41,26.15085714
1.48,26.15085714
1.54,26.15085714
1.61,26.15085714
1.67,26.10936235
1.73,25.74628288
1.80,25.80645033
1.86,26.53260927
1.93,26.53675875
1.99,26.17367928
2.06,26.15085714
2.12,26.22762252
2.18,26.59070199
2.25,25.34793283
2.31,24.98485336
2.38,23.99520246
2.44,23.66946831
2.51,24.39562725
2.57,23.86864333
2.63,24.59480227
2.70,24.69438978
2.76,25.42054872
2.83,25.42054872
2.89,25.29952223
2.95,25.17849574
3.02,25.05746925
3.08,24.93644276
3.15,24.81541627
3.21,24.69438978
3.28,24.57336329
3.34,24.4523368
3.40,24.33131031
3.47,25.34170861
3.53,24.97862914
3.60,23.92673605
3.66,24.27269891
3.73,24.30295553
3.79,24.33321216
3.85,24.36346878
3.92,24.3937254
3.98,24.42398202
4.05,24.45423865
4.11,24.48449527
4.18,24.51475189
4.24,24.54500851
4.30,24.57526514
4.37,24.60552176
4.43,24.63577838
4.50,24.666035
4.56,24.69629163
4.63,24.72654825
4.69,24.75680487
4.75,24.78706149
4.82,24.81731812
4.88,24.84757474
4.95,24.87783136
5.01,25.02219868
5.07,25.38527815
5.14,25.52428571
5.20,25.52428571
5.27,25.52428571
5.33,25.46411826
5.40,25.10103879
5.46,24.89771429
5.52,24.89771429
5.59,24.89771429
5.65,24.89771429
5.72,24.89771429
5.78,24.89771429
5.85,24.89771429
5.91,24.89771429
5.97,24.89771429
6.04,25.19232734
6.10,25.52428571
6.17,25.52428571
6.23,25.39357711
6.30,25.03049763
6.36,25.12801041
6.42,25.49108988
6.49,25.52428571
6.55,25.45789404
6.62,25.09481457
6.68,24.84238789
6.75,24.7213614
6.81,24.60033491
6.87,24.47930842
6.94,24.35828193
7.00,24.37280511
7.07,24.73588458
7.13,23.84582119
7.19,24.20890066
7.26,23.34373415
7.32,23.05534532
7.39,23.41842479
7.45,23.64457143
7.52,23.64457143
7.58,23.64457143
7.64,23.64457143
7.71,23.64457143
7.77,24.34375875
7.84,24.70683822
7.90,24.05122044
7.97,26.22969726
8.03,25.6902649
8.09,26.07616651
8.16,22.80845128
8.22,23.10513907
8.29,21.28974172
8.35,19.04694797
8.42,19.77310691
8.48,19.25857143
8.54,19.25857143
8.61,19.25857143
8.67,19.25857143
8.74,19.25857143
8.80,19.25857143
8.86,19.25857143
8.93,19.25857143
8.99,19.17973132
9.06,18.81665184
9.12,18.98885525
9.19,19.71501419
9.25,19.60712772
9.31,19.25857143
9.38,19.25857143
9.44,19.37268212
9.51,19.73576159
9.57,19.88514286
9.64,19.88514286
9.70,19.88514286
9.76,19.27931883
9.83,23.99935194
9.89,22.15490823
9.96,26.1487824
10.02,21.12998675
10.09,22.94538411
10.15,24.76078146
10.21,26.15085714
10.28,26.15085714
10.34,26.33550899
10.41,26.69858846
10.47,26.35106954
10.54,25.80645033
10.60,25.26183113
10.66,26.92266036
10.73,25.47034248
10.79,24.89771429
10.86,24.89771429
10.92,24.57820435
10.98,24.78567833
11.05,24.05951939
11.11,23.33336045
11.18,22.60720151
11.24,23.018
11.31,23.018
11.37,21.76485714
11.43,21.93498581
11.50,20.11958846
11.56,20.75653359
11.63,20.03037465
11.69,19.59467928
11.76,20.48474267
11.82,20.1216632
11.88,20.01170199
11.95,20.37478146
12.01,19.88514286
12.08,19.88514286
12.14,19.36714948
12.21,19.48817597
12.27,19.60920246
12.33,19.73022895
12.40,19.85125544
12.46,19.62372564
12.53,19.26064617
12.59,31.64061873
12.65,26.87494134
12.72,27.23802081
12.78,42.09730747
12.85,33.38340019
12.91,52.03531126
12.98,54.37976727
13.04,54.74284674
13.10,59.85293094
13.17,59.48985147
13.23,51.81123936
13.30,44.91272942
13.36,51.72824976
13.43,39.53500378
13.49,34.08881173
13.55,38.83581646
13.62,33.75270388
13.68,33.58464995
13.75,30.51610974
13.81,28.70071239
13.88,29.39160076
13.94,27.57620341
14.00,26.77742857
14.07,26.77742857
14.13,26.77742857
14.20,26.77742857
14.26,26.77742857
14.33,26.77742857
14.39,26.77742857
14.45,26.77742857
14.52,26.77742857
14.58,26.77742857
14.65,26.85211921
14.71,27.21519868
14.77,27.404
14.84,27.404
14.90,27.13013434
14.97,26.77742857
15.03,26.77742857
15.10,26.77742857
15.16,26.77742857
15.22,26.77742857
15.29,26.77742857
15.35,27.08656481
15.42,26.7317843
15.48,26.36870482
15.55,27.11353642
15.61,26.38737748
15.67,26.39567644
15.74,26.75875591
15.80,26.77742857
15.87,26.77742857
15.93,26.77742857
16.00,26.77742857
16.06,26.77742857
16.12,26.77742857
16.19,26.77742857
16.25,26.77742857
16.32,26.77742857
16.38,26.77742857
16.45,26.77742857
16.51,26.77742857
16.57,26.77742857
16.64,26.77742857
16.70,26.77742857
16.77,26.45376916
16.83,27.1799281
16.89,26.52638505
16.96,26.16330558
17.02,26.77742857
17.09,26.77742857
17.15,26.77742857
17.22,26.52431031
17.28,27.25046925
17.34,26.77742857
17.41,26.75460643
17.47,26.39152696
17.54,26.27326679
17.60,26.63634626
17.67,26.77742857
17.73,26.77742857
17.79,26.4558439
17.86,27.34590728
17.92,26.98282781
17.99,26.77742857
18.05,26.77742857
18.12,26.77742857
18.18,26.77742857
18.24,26.50771239
18.31,27.31063671
18.37,26.94755724
18.44,26.97037938
