Time_mins,power_kw
0.00,11.58
0.05,12.93
0.10,11.85
0.14,10.51
0.19,10.41
0.24,10.12
0.29,10.57
0.33,9.53
0.38,9.98
0.43,9.77
0.48,9.32
0.52,8.87
0.57,9.00
0.62,9.90
0.67,9.40
0.71,10.73
0.76,9.83
0.81,9.78
0.86,10.68
0.90,10.47
0.95,7.95
1.00,8.40
1.05,8.85
1.09,9.30
1.14,9.74
1.19,9.91
1.24,9.01
1.28,10.84
1.33,10.84
1.38,10.91
1.43,14.93
1.47,34.22
1.52,12.53
1.57,11.63
1.62,87.77
1.66,30.12
1.71,88.41
1.76,76.87
1.81,108.26
1.85,42.26
1.90,21.81
1.95,21.36
2.00,39.68
2.05,28.45
2.09,22.17
2.14,19.80
2.19,18.01
2.24,21.31
2.28,18.47
2.33,21.61
2.38,23.34
2.43,23.12
2.47,22.90
2.52,23.49
2.57,23.94
2.62,23.97
2.66,23.53
2.71,23.08
2.76,24.25
2.81,24.70
2.85,23.89
2.90,24.79
2.95,24.58
3.00,25.18
3.04,26.53
3.09,28.38
3.14,27.93
3.19,27.49
3.23,27.25
3.28,27.70
3.33,28.89
3.38,29.34
3.42,29.16
3.47,28.93
3.52,28.71
3.57,28.49
3.61,28.26
3.66,28.04
3.71,28.03
3.76,28.48
3.80,28.63
3.85,28.63
3.90,28.63
3.95,28.46
4.00,28.01
4.04,27.89
4.09,27.94
4.14,28.83
4.19,25.48
4.23,25.03
4.28,27.95
4.33,27.14
4.38,27.14
4.42,25.12
4.47,25.57
4.52,28.68
4.57,28.82
4.61,30.16
4.66,30.33
4.71,30.78
4.76,30.10
4.80,29.94
4.85,29.05
4.90,28.10
4.95,29.89
4.99,28.76
5.04,25.73
5.09,29.31
5.14,29.62
5.18,30.07
5.23,31.59
5.28,29.55
5.33,30.22
5.37,30.89
5.42,31.56
5.47,32.57
5.52,32.39
5.56,32.57
5.61,32.75
5.66,32.93
5.71,33.10
5.75,33.28
5.80,33.46
5.85,33.64
5.90,33.79
5.95,33.35
5.99,33.07
6.04,33.07
6.09,33.40
6.14,33.81
6.18,33.81
6.23,33.81
6.28,33.81
6.33,33.46
6.37,33.13
6.42,33.58
6.47,33.67
6.52,33.37
6.56,33.07
6.61,32.77
6.66,32.48
6.71,32.56
6.75,33.01
6.80,33.07
6.85,32.98
6.90,32.53
6.94,32.33
6.99,32.33
7.04,32.74
7.09,33.10
7.13,33.21
7.18,33.33
7.23,33.44
7.28,33.55
7.32,33.66
7.37,33.77
7.42,33.53
7.47,33.08
7.51,34.40
7.56,35.01
7.61,36.35
7.66,47.77
7.70,33.80
7.75,33.35
7.80,46.09
7.85,39.36
7.90,38.12
7.94,36.35
7.99,30.52
8.04,26.07
8.09,24.88
8.13,70.40
8.18,28.86
8.23,56.14
8.28,146.38
8.32,140.11
8.37,179.68
8.42,209.74
8.47,219.40
8.51,219.98
8.56,222.82
8.61,223.46
8.66,219.08
8.70,219.36
8.75,218.09
8.80,217.23
8.85,218.80
8.89,206.52
8.94,215.04
8.99,213.69
9.04,213.41
9.08,161.92
9.13,157.45
9.18,157.17
9.23,149.05
9.27,148.76
9.32,151.69
9.37,150.17
9.42,150.74
9.46,149.87
9.51,148.56
9.56,148.00
9.61,144.66
9.66,145.51
9.70,146.36
9.75,142.93
9.80,134.98
9.85,136.24
9.89,116.36
9.94,120.59
9.99,110.32
10.04,108.05
10.08,104.11
10.13,104.40
10.18,104.68
10.23,104.96
10.27,105.25
10.32,105.53
10.37,105.82
10.42,103.98
10.46,104.09
10.51,104.66
10.56,105.41
10.61,104.56
10.65,103.77
10.70,103.99
10.75,103.99
10.80,103.99
10.84,103.99
10.89,103.99
10.94,103.91
10.99,103.62
11.03,103.52
11.08,103.52
11.13,103.24
11.18,104.37
11.22,104.08
11.27,104.17
11.32,104.45
11.37,103.60
11.41,103.25
11.46,103.81
11.51,103.86
11.56,101.94
11.61,98.54
11.65,101.34
11.70,98.22
11.75,95.06
11.80,93.40
11.84,90.56
11.89,87.58
11.94,88.72
11.99,90.08
12.03,86.92
12.08,89.19
12.13,88.92
12.18,91.76
12.22,91.78
12.27,91.31
12.32,91.31
12.37,91.46
12.41,91.74
12.46,91.53
12.51,92.13
12.56,91.56
12.60,91.31
12.65,91.31
12.70,91.10
12.75,91.38
12.79,91.67
12.84,91.95
12.89,92.24
12.94,91.98
12.98,91.87
13.03,92.15
13.08,92.07
13.13,91.78
13.17,92.06
13.22,92.06
13.27,91.49
13.32,91.70
13.36,92.18
13.41,90.19
13.46,90.48
13.51,90.77
13.56,86.61
13.60,86.60
13.65,86.31
13.70,82.74
13.75,82.46
13.79,81.71
13.84,80.95
13.89,80.67
13.94,80.53
13.98,78.54
14.03,71.37
14.08,74.01
14.13,71.45
14.17,71.50
14.22,66.67
14.27,69.53
14.32,68.95
14.36,69.81
14.41,72.69
14.46,73.83
14.51,79.35
14.55,97.58
14.60,102.13
14.65,106.01
14.70,121.34
14.74,111.42
14.79,119.25
14.84,120.10
14.89,121.57
14.93,120.44
14.98,118.29
15.03,120.22
15.08,121.07
15.12,99.43
15.17,118.03
15.22,95.03
15.27,93.53
15.31,83.03
15.36,79.37
15.41,79.16
15.46,80.01
15.51,76.99
15.55,80.96
15.60,91.63
15.65,87.75
15.70,93.99
15.74,95.96
15.79,94.82
15.84,96.91
15.89,97.85
15.93,100.83
15.98,103.82
16.03,106.80
16.08,102.38
16.12,100.74
16.17,108.41
16.22,111.80
16.27,112.37
16.31,110.77
16.36,112.17
16.41,111.04
16.46,110.88
16.50,111.45
16.55,110.14
16.60,109.78
16.65,108.64
16.69,108.56
16.74,109.13
16.79,109.42
16.84,109.35
16.88,108.50
16.93,109.24
16.98,108.69
17.03,109.82
17.07,109.49
17.12,111.76
17.17,110.35
17.22,111.07
17.26,111.92
17.31,112.66
17.36,113.23
17.41,113.16
17.46,112.93
17.50,113.21
17.55,113.37
17.60,113.37
17.65,113.37
17.69,113.37
17.74,118.71
17.79,119.74
17.84,120.58
17.88,119.58
17.93,122.40
17.98,118.18
18.03,121.01
18.07,121.43
18.12,121.85
18.17,122.26
18.22,122.68
18.26,123.10
18.31,123.52
18.36,123.94
18.41,121.59
18.45,122.01
18.50,130.80
18.55,132.47
18.60,131.56
18.64,131.98
18.69,132.40
18.74,133.09
18.79,133.93
18.83,134.35
18.88,132.69
18.93,133.11
18.98,133.82
19.02,134.61
19.07,134.19
19.12,133.93
19.17,133.93
19.21,134.24
19.26,133.27
19.31,133.69
19.36,133.75
19.41,133.33
19.45,133.89
19.50,132.78
19.55,129.02
19.60,132.77
19.64,127.32
19.69,130.19
19.74,129.86
19.79,126.09
19.83,122.39
19.88,122.81
19.93,123.58
19.98,124.08
20.02,123.24
20.07,125.63
20.12,126.89
20.17,124.31
20.21,122.28
20.26,122.69
20.31,123.11
20.36,123.53
20.40,123.36
20.45,123.15
20.50,122.94
20.55,122.73
20.59,122.52
20.64,122.31
20.69,123.42
20.74,123.00
20.78,122.86
20.83,124.94
20.88,124.94
20.93,124.16
20.97,122.07
21.02,122.38
21.07,121.56
21.12,122.82
21.16,123.73
21.21,124.15
21.26,123.08
21.31,123.36
21.36,123.64
21.40,123.91
21.45,124.19
21.50,123.91
21.55,123.52
21.59,123.32
21.64,123.11
21.69,122.90
21.74,122.51
21.78,122.17
21.83,122.17
21.88,122.62
21.93,123.46
21.97,123.61
22.02,124.05
22.07,123.22
22.12,123.52
22.16,122.26
22.21,125.11
22.26,124.02
22.31,123.18
22.35,128.06
22.40,129.73
22.45,130.88
22.50,128.66
22.54,129.50
22.59,129.78
22.64,129.78
22.69,129.78
22.73,131.32
22.78,131.73
22.83,130.47
22.88,130.47
22.92,130.47
22.97,130.47
23.02,130.47
23.07,130.79
23.11,131.13
23.16,130.71
23.21,130.47
23.26,130.47
23.31,130.47
23.35,130.42
23.40,130.00
23.45,128.20
23.50,127.78
23.54,127.71
23.59,128.94
23.64,128.10
23.69,127.71
23.73,127.71
23.78,128.07
23.83,128.12
23.88,126.87
23.92,126.09
23.97,125.67
24.02,126.87
24.07,127.01
24.11,127.01
24.16,126.32
24.21,126.32
24.26,126.72
24.30,127.14
24.35,127.56
24.40,127.98
24.45,128.40
24.49,129.36
24.54,128.95
24.59,128.53
24.64,127.01
24.68,127.01
24.73,127.01
24.78,127.18
24.83,127.60
24.87,127.40
24.92,128.36
24.97,127.95
25.02,127.53
25.07,127.11
25.11,127.01
25.16,126.91
25.21,126.07
25.26,126.52
25.30,126.94
25.35,128.40
25.40,127.22
25.45,128.48
25.49,128.14
25.54,128.97
25.59,128.73
25.64,127.62
25.68,127.20
25.73,126.10
25.78,126.93
25.83,126.26
25.87,128.08
25.92,126.83
25.97,127.26
26.02,127.68
26.06,128.10
26.11,128.03
26.16,126.78
26.21,127.71
26.25,127.71
26.30,127.56
26.35,128.81
26.40,127.97
26.44,129.78
26.49,129.04
26.54,127.37
26.59,126.32
26.63,126.32
26.68,127.40
26.73,128.34
26.78,127.50
26.82,127.36
26.87,128.20
26.92,127.12
26.97,125.72
27.02,126.56
27.06,126.02
27.11,126.85
27.16,125.67
27.21,124.38
27.25,125.21
27.30,126.89
27.35,129.40
27.40,126.38
27.44,130.43
27.49,130.22
27.54,130.01
27.59,129.80
27.63,130.23
27.68,129.19
27.73,128.14
27.78,128.40
27.82,128.40
27.87,128.05
27.92,126.93
27.97,125.82
28.01,124.70
28.06,123.59
28.11,123.72
28.16,123.27
28.20,124.52
28.25,125.22
28.30,122.90
28.35,125.41
28.39,126.51
28.44,134.55
28.49,132.51
28.54,136.87
28.58,136.87
28.63,137.97
28.68,136.10
28.73,136.09
28.77,138.62
28.82,137.50
28.87,135.81
28.92,136.18
28.97,135.66
29.01,135.07
29.06,135.45
29.11,135.64
29.16,135.64
29.20,135.95
29.25,135.02
29.30,135.02
29.35,135.24
29.39,134.50
29.44,136.29
29.49,136.09
29.54,135.34
29.58,137.28
29.63,136.91
29.68,136.53
29.73,136.16
29.77,135.78
29.82,135.23
29.87,138.59
29.92,138.77
29.96,137.95
30.01,139.45
30.06,142.79
30.11,142.43
30.15,143.18
30.20,143.15
30.25,141.65
30.30,143.15
30.34,141.21
30.39,141.59
30.44,143.05
30.49,143.05
30.53,141.95
30.58,139.41
30.63,140.16
30.68,140.84
30.72,138.60
30.77,138.11
30.82,139.20
30.87,138.08
30.92,136.87
30.96,136.87
31.01,136.87
31.06,138.05
31.11,137.67
31.15,141.35
31.20,148.83
31.25,145.14
31.30,145.50
31.34,121.95
31.39,123.52
31.44,123.52
31.49,123.80
31.53,123.95
31.58,123.21
31.63,123.36
31.68,124.10
31.72,125.34
31.77,127.26
31.82,120.91
31.87,125.12
31.91,119.69
31.96,122.59
32.01,125.12
32.06,125.57
32.10,123.79
32.15,124.26
32.20,125.15
32.25,125.54
32.29,125.09
32.34,123.90
32.39,124.91
32.44,124.01
32.48,125.34
32.53,124.44
32.58,124.92
32.63,124.18
32.67,123.73
32.72,123.70
32.77,124.14
32.82,124.59
32.87,124.83
32.91,123.93
32.96,123.71
33.01,124.16
33.06,125.35
33.10,125.65
33.15,125.35
33.20,125.05
33.25,124.76
33.29,124.46
33.34,124.44
33.39,125.34
33.44,125.45
33.48,125.00
33.53,124.55
33.58,122.13
33.63,122.58
33.67,124.83
33.72,124.61
33.77,124.38
33.82,122.60
33.86,122.15
33.91,122.31
33.96,122.74
34.01,122.29
34.05,123.32
34.10,122.88
34.15,122.75
34.20,122.75
34.24,122.75
34.29,122.75
34.34,122.75
34.39,122.41
34.43,122.10
34.48,122.99
34.53,123.09
34.58,122.19
34.62,123.43
34.67,122.94
34.72,124.29
34.77,124.53
34.82,123.63
34.86,123.48
34.91,120.86
34.96,122.65
35.01,123.01
35.05,122.11
35.10,122.80
35.15,122.11
35.20,122.56
35.24,123.46
35.29,122.11
35.34,122.66
35.39,122.25
35.43,123.14
35.48,123.30
35.53,124.20
35.58,124.23
35.62,124.23
35.67,124.23
35.72,122.45
35.77,123.48
35.81,122.59
35.86,122.80
35.91,125.04
35.96,122.43
36.00,122.07
36.05,123.41
36.10,123.70
36.15,122.35
36.19,123.08
36.24,123.45
36.29,123.00
36.34,122.55
36.38,122.10
36.43,123.18
36.48,122.06
36.53,122.51
36.57,121.91
36.62,123.25
36.67,123.12
36.72,122.59
36.77,121.70
36.81,121.50
36.86,121.95
36.91,122.01
36.96,122.01
37.00,122.01
37.05,121.75
37.10,121.31
37.15,123.15
37.19,123.60
37.24,124.05
37.29,122.35
37.34,124.14
37.38,121.58
37.43,122.61
37.48,122.17
37.53,121.43
37.57,120.53
37.62,121.71
37.67,122.37
37.72,121.25
37.76,120.12
37.81,120.51
37.86,120.06
37.91,119.61
37.95,119.16
