Time_mins,Power_kW
0.000000000000000000e+00,2.885566605279312569e+01
3.806228373702422174e-02,2.892159508804063250e+01
7.612456747404844348e-02,2.908761498142751734e+01
1.141868512110726652e-01,2.898872142855625711e+01
1.522491349480968870e-01,2.921699154019749045e+01
1.903114186851211087e-01,2.901920443445496645e+01
2.283737024221453304e-01,2.911692964912105097e+01
2.664359861591695244e-01,2.912791782166230092e+01
3.044982698961937739e-01,2.921707844138630605e+01
3.425605536332180234e-01,2.911818488851504227e+01
3.806228373702422174e-01,2.919510209630380260e+01
4.186851211072664114e-01,2.870327999036251754e+01
4.567474048442906609e-01,2.906588968422381569e+01
4.948096885813149104e-01,2.806525146208413091e+01
5.328719723183390489e-01,2.903221064571424748e+01
5.709342560553632984e-01,2.784877094505877437e+01
6.089965397923875479e-01,2.932515455320899989e+01
6.470588235294117974e-01,3.010531480363784596e+01
6.851211072664360469e-01,2.946365573680452599e+01
7.231833910034601853e-01,2.947464390934577594e+01
7.612456747404844348e-01,3.070543510221768457e+01
7.993079584775086843e-01,2.977144043621131786e+01
8.373702422145328228e-01,2.993876384743042607e+01
8.754325259515570723e-01,2.910366273429532313e+01
9.134948096885813218e-01,2.849503577489927864e+01
9.515570934256055713e-01,2.900105174168031397e+01
9.896193771626298208e-01,2.907796894946907429e+01
1.027681660899653959e+00,2.843836654410437248e+01
1.065743944636678098e+00,2.859220095968188957e+01
1.103806228373702458e+00,2.845230935706532804e+01
1.141868512110726597e+00,2.853472065112471157e+01
1.179930795847750957e+00,2.861713194518409864e+01
1.217993079584775096e+00,2.930371892663467648e+01
1.256055363321799234e+00,2.861146405653584068e+01
1.294117647058823595e+00,2.899125121871953326e+01
1.332179930795847733e+00,2.837591355640945778e+01
1.370242214532872094e+00,2.854530328478482559e+01
1.408304498269896232e+00,2.964412053890996646e+01
1.446366782006920371e+00,2.922141384513939855e+01
1.484429065743944731e+00,2.897967404923186763e+01
1.522491349480968870e+00,2.908283541604270184e+01
1.560553633217993008e+00,3.005218921020905398e+01
1.598615916955017369e+00,3.009614190037406090e+01
1.636678200692041507e+00,3.012534069981583684e+01
1.674740484429065646e+00,3.012534069981583684e+01
1.712802768166090006e+00,3.010466787256555676e+01
1.750865051903114145e+00,3.013763239018931017e+01
1.788927335640138505e+00,3.013629990529415181e+01
1.826989619377162644e+00,3.012531173275289831e+01
1.865051903114186782e+00,3.011432356021164836e+01
1.903114186851211143e+00,3.010333538767039485e+01
1.941176470588235281e+00,3.009234721512914490e+01
1.979238754325259642e+00,3.010101802263533344e+01
2.017301038062283780e+00,3.013398254025909040e+01
2.055363321799307919e+00,2.996653360510058306e+01
2.093425605536332057e+00,2.993356908747682965e+01
2.131487889273356195e+00,3.000773442428645410e+01
2.169550173010380778e+00,2.991298316141536162e+01
2.207612456747404917e+00,2.993495950649786508e+01
2.245674740484429055e+00,2.997855493621996459e+01
2.283737024221453193e+00,2.989064955588995431e+01
2.321799307958477332e+00,2.987029536633199456e+01
2.359861591695501915e+00,2.990325988395574797e+01
2.397923875432526053e+00,2.991047268262737902e+01
2.435986159169550191e+00,2.985191093705383736e+01
2.474048442906574330e+00,2.986289910959509086e+01
2.512110726643598468e+00,2.987140577041129674e+01
2.550173010380623051e+00,2.987140577041129674e+01
2.588235294117647189e+00,3.015636442422272978e+01
2.626297577854671328e+00,3.061786767095528461e+01
2.664359861591695466e+00,2.989093922651933610e+01
2.702422145328719605e+00,2.989093922651933610e+01
2.740484429065744187e+00,3.091701052991882648e+01
2.778546712802768326e+00,2.998257170228074386e+01
2.816608996539792464e+00,3.060889753713207284e+01
2.854671280276816603e+00,3.098110498451357486e+01
2.892733564013840741e+00,3.097011681197232491e+01
2.930795847750864880e+00,3.043172532451394829e+01
2.968858131487889462e+00,3.042073715197269479e+01
3.006920415224913601e+00,3.001359542668762970e+01
3.044982698961937739e+00,2.993058547999418550e+01
3.083044982698961878e+00,3.006244355048920269e+01
3.121107266435986016e+00,3.041585137402377370e+01
3.159169550173010599e+00,3.040486320148252020e+01
3.197231833910034737e+00,3.012142049063152527e+01
3.235294117647058876e+00,3.033019576891529923e+01
3.273356401384083014e+00,3.009843029834618378e+01
3.311418685121107153e+00,3.008744212580493027e+01
3.349480968858131291e+00,3.005681428459153182e+01
3.387543252595155874e+00,3.003149707158348036e+01
3.425605536332180012e+00,3.006446158920723377e+01
3.463667820069204151e+00,3.006768658888103118e+01
3.501730103806228289e+00,3.001274572617477432e+01
3.539792387543252428e+00,2.972730428798103475e+01
3.577854671280277010e+00,2.995805591134731571e+01
3.615916955017301149e+00,2.997838113384233338e+01
3.653979238754325287e+00,2.998825890230428470e+01
3.692041522491349426e+00,2.992232986705677789e+01
3.730103806228373564e+00,2.978887860810015908e+01
3.768166089965398147e+00,2.942626891423885738e+01
3.806228373702422285e+00,2.922185800677111800e+01
3.844290657439446424e+00,2.921086983422986805e+01
3.882352941176470562e+00,2.979228706583922914e+01
3.920415224913494701e+00,2.961647630517920859e+01
3.958477508650519283e+00,2.908350165849028457e+01
3.996539792387543422e+00,2.957968813524760066e+01
4.034602076124567560e+00,2.959067630778885061e+01
4.072664359861591699e+00,3.039880908532842341e+01
4.110726643598615837e+00,3.039880908532842341e+01
4.148788927335639976e+00,2.891236425065095261e+01
4.186851211072664114e+00,3.002216967731734343e+01
4.224913494809688252e+00,3.035805242777427182e+01
4.262975778546712391e+00,3.039840354644728748e+01
4.301038062283737418e+00,3.033247451119977711e+01
4.339100346020761556e+00,3.035221073674838621e+01
4.377162629757785695e+00,3.031924621912463280e+01
4.415224913494809833e+00,3.030114180478821240e+01
4.453287197231833972e+00,3.030114180478821240e+01
4.491349480968858110e+00,3.036031185868345972e+01
4.529411764705882248e+00,3.044821723901346999e+01
4.567474048442906387e+00,3.044785997857056259e+01
4.605536332179930525e+00,3.047694290976058795e+01
4.643598615916954664e+00,3.047694290976058795e+01
4.681660899653979691e+00,3.046199590528443935e+01
4.719723183391003829e+00,3.041804321511943598e+01
4.757785467128027967e+00,3.043269089327855426e+01
4.795847750865052106e+00,3.038873820311354734e+01
4.833910034602076244e+00,3.037927562922038049e+01
4.871972318339100383e+00,3.037927562922038049e+01
4.910034602076124521e+00,3.037927562922038049e+01
4.948096885813148660e+00,3.038431589817163925e+01
4.986159169550172798e+00,3.040629224325414270e+01
5.024221453287196937e+00,3.042362420257887479e+01
5.062283737024221075e+00,3.047856506528513520e+01
5.100346020761246102e+00,3.040825234784629671e+01
5.138408304498270240e+00,3.036429965768129335e+01
5.176470588235294379e+00,3.040915032679738772e+01
5.214532871972318517e+00,3.049452108912029757e+01
5.252595155709342656e+00,3.047803883030842087e+01
5.290657439446366794e+00,3.046155657149654417e+01
5.328719723183390933e+00,3.044507431268466746e+01
5.366782006920415071e+00,3.041930811020107583e+01
5.404844290657439210e+00,3.038634359257731887e+01
5.442906574394463348e+00,3.040517218348719553e+01
5.480968858131488375e+00,3.043796289873332128e+01
5.519031141868512513e+00,3.044895107127457123e+01
5.557093425605536652e+00,3.034653319241248681e+01
5.595155709342560790e+00,3.037400362376561702e+01
5.633217993079584929e+00,3.040147405511874368e+01
5.671280276816609067e+00,3.042894448647187389e+01
5.709342560553633206e+00,3.041291604497936163e+01
5.747404844290657344e+00,3.034698700973185481e+01
5.785467128027681483e+00,3.042820099852312410e+01
5.823529411764705621e+00,3.045872262717241696e+01
5.861591695501729760e+00,3.046971079971366692e+01
5.899653979238754786e+00,3.048069897225492042e+01
5.937716262975778925e+00,3.049168714479617037e+01
5.975778546712803063e+00,3.047168055999346947e+01
6.013840830449827202e+00,3.042772786982846611e+01
6.051903114186851340e+00,3.045290990320946989e+01
6.089965397923875479e+00,3.049637980899217027e+01
6.128027681660899617e+00,3.048539163645091676e+01
6.166089965397923756e+00,3.045233056195070276e+01
6.204152249134947894e+00,3.043035421686820285e+01
6.242214532871972033e+00,3.040837787178569940e+01
6.280276816608996171e+00,3.038640152670319594e+01
6.318339100346021198e+00,3.038670085302022628e+01
6.356401384083045336e+00,3.039768902556147623e+01
6.394463667820069475e+00,3.036920474700550798e+01
6.432525951557093613e+00,3.039682484151715158e+01
6.470588235294117752e+00,3.038034258270527488e+01
6.508650519031141890e+00,3.036386032389339817e+01
6.546712802768166028e+00,3.034737806508152147e+01
6.584775086505190167e+00,3.036595078026877559e+01
6.622837370242214305e+00,3.037693895281002554e+01
6.660899653979238444e+00,3.038792712535127905e+01
6.698961937716262582e+00,3.040656260250823451e+01
6.737024221453287609e+00,3.120869919801959469e+01
6.775086505190311748e+00,3.058744259918245589e+01
6.813148788927335886e+00,3.140056736723505892e+01
6.851211072664360024e+00,3.145667656814648439e+01
6.889273356401384163e+00,3.374221645672673731e+01
6.927335640138408301e+00,3.342216903400943551e+01
6.965397923875432440e+00,3.445505725288708021e+01
7.003460207612456578e+00,3.329664509461026256e+01
7.041522491349480717e+00,3.452612311396230638e+01
7.079584775086504855e+00,3.425141880043101850e+01
7.117647058823529882e+00,3.412772944168459333e+01
7.155709342560554020e+00,3.429255202980336037e+01
7.193771626297578159e+00,3.429029259889417602e+01
7.231833910034602297e+00,3.388373021486788161e+01
7.269896193771626436e+00,3.320129517910511652e+01
7.307958477508650574e+00,3.180487032035216899e+01
7.346020761245674713e+00,3.177190580272841558e+01
7.384083044982698851e+00,2.873748043600495805e+01
7.422145328719722990e+00,3.116586656762151364e+01
7.460207612456747128e+00,3.249841905259557961e+01
7.498269896193771267e+00,3.247644270751307971e+01
7.536332179930796293e+00,2.910174125245376331e+01
7.574394463667820432e+00,3.084886068651275437e+01
7.612456747404844570e+00,2.841267275927813074e+01
7.650519031141868709e+00,3.119162794226129520e+01
7.688581314878892847e+00,3.112569890701378483e+01
7.726643598615916986e+00,2.940692857188373921e+01
7.764705882352941124e+00,3.078045013954014308e+01
7.802768166089965263e+00,3.135934723667389434e+01
7.840830449826989401e+00,3.122748916617887716e+01
7.878892733564013540e+00,3.133631842163796577e+01
7.916955017301038566e+00,3.139488982289915242e+01
7.955017301038062705e+00,3.138390165035790247e+01
7.993079584775086843e+00,3.135750300033348736e+01
8.031141868512110094e+00,3.128058579254472704e+01
8.069204152249135120e+00,3.153676084148316505e+01
8.107266435986158370e+00,3.154774901402441500e+01
8.145328719723183397e+00,3.173453829153804406e+01
8.183391003460208424e+00,3.174552646407929402e+01
8.221453287197231674e+00,3.126791753035305632e+01
8.259515570934256701e+00,3.093594533339280517e+01
8.297577854671279951e+00,3.165017654857413731e+01
8.335640138408304978e+00,2.971432704378470291e+01
8.373702422145328228e+00,3.056041632946102737e+01
8.411764705882353255e+00,3.166782714559119682e+01
8.449826989619376505e+00,3.090964324024486132e+01
8.487889273356401532e+00,2.982374529619018233e+01
8.525951557093424782e+00,3.052141700705847427e+01
8.564013840830449809e+00,3.096094390870853275e+01
8.602076124567474835e+00,2.952238162906805030e+01
8.640138408304498085e+00,2.953336980160930025e+01
8.678200692041523112e+00,3.077634647229060860e+01
8.716262975778546362e+00,3.245753687110200758e+01
8.754325259515571389e+00,3.271819215910826983e+01
8.792387543252594639e+00,3.386096210339839985e+01
8.830449826989619666e+00,3.348190877347581562e+01
8.868512110726642916e+00,3.402741650272934493e+01
8.906574394463667943e+00,3.462077781995694181e+01
8.944636678200692970e+00,3.673292086978874948e+01
8.982698961937716220e+00,3.742517573988755686e+01
9.020761245674741247e+00,3.595959684621329444e+01
9.058823529411764497e+00,3.594860867367204804e+01
9.096885813148789524e+00,3.668066428824807446e+01
9.134948096885812774e+00,3.746992019643953142e+01
9.173010380622837801e+00,3.746992019643953142e+01
9.211072664359861051e+00,3.762877556959301728e+01
9.249134948096886077e+00,3.763976374213427079e+01
9.287197231833909328e+00,3.827582251013285486e+01
9.325259515570934354e+00,3.828681068267410836e+01
9.363321799307959381e+00,3.853220032851186261e+01
9.401384083044982631e+00,3.854318850105310901e+01
9.439446366782007658e+00,3.783592869235225464e+01
9.477508650519030908e+00,3.862376521445973765e+01
9.515570934256055935e+00,3.863475338700099115e+01
9.553633217993079185e+00,3.895688643824987452e+01
9.591695501730104212e+00,3.913269719890989506e+01
9.629757785467127462e+00,3.866771790462474456e+01
9.667820069204152489e+00,3.867870607716599807e+01
9.705882352941175739e+00,3.929752944271631065e+01
9.743944636678200766e+00,3.914995191273345654e+01
9.782006920415225792e+00,3.916094008527471004e+01
9.820069204152249043e+00,3.932164935045624787e+01
9.858131487889274069e+00,3.938757838570376180e+01
9.896193771626297320e+00,3.940310473143867398e+01
9.934256055363322346e+00,3.935915204127365996e+01
9.972318339100345597e+00,3.937506461451442163e+01
1.001038062283737062e+01,3.941901730467942855e+01
1.004844290657439387e+01,3.943319185414388528e+01
1.008650519031141890e+01,3.934651274614493133e+01
1.012456747404844215e+01,3.935750091868618483e+01
1.016262975778546718e+01,3.942750465412034089e+01
1.020069204152249220e+01,3.938355196395533397e+01
1.023875432525951545e+01,3.942473347176591147e+01
1.027681660899654048e+01,3.935880443651840466e+01
1.031487889273356373e+01,3.921922181590652201e+01
1.035294117647058876e+01,3.921003925695508485e+01
1.039100346020761201e+01,3.931992098236759858e+01
1.042906574394463703e+01,3.921361186138413757e+01
1.046712802768166028e+01,3.923558820646663747e+01
1.050519031141868531e+01,3.927338056791344201e+01
1.054325259515570856e+01,3.937227412078469513e+01
1.058131487889273359e+01,3.931676357250732678e+01
1.061937716262975862e+01,3.921787001963605945e+01
1.065743944636678187e+01,3.915804337898088505e+01
1.069550173010380689e+01,3.915271343940024451e+01
1.073356401384083014e+01,3.886702095332771023e+01
1.077162629757785517e+01,3.897546398128095291e+01
1.080968858131487842e+01,3.875570053045593255e+01
1.084775086505190345e+01,3.925169389346032744e+01
1.088581314878892670e+01,3.905390678771780699e+01
1.092387543252595172e+01,3.885611968197527233e+01
1.096193771626297675e+01,3.944001842530966684e+01
1.100000000000000000e+01,3.926420766464965340e+01
1.103806228373702503e+01,3.938943227773180666e+01
1.107612456747404828e+01,3.941140862281430657e+01
1.111418685121107330e+01,3.949634005134932124e+01
1.115224913494809655e+01,3.948535187880807484e+01
1.119031141868512158e+01,3.947436370626682134e+01
1.122837370242214483e+01,3.946337553372556783e+01
