Time_mins,power_kw,
0.00,59.71,
0.04,63.53,
0.09,62.49,
0.13,60.97,
0.18,60.36,
0.22,60.36,
0.26,58.76,
0.31,59.95,
0.35,61.09,
0.40,61.46,
0.44,61.08,
0.48,61.97,
0.53,62.87,
0.57,62.11,
0.62,62.78,
0.66,63.92,
0.70,64.25,
0.75,63.60,
0.79,63.60,
0.83,64.09,
0.88,65.61,
0.92,65.55,
0.97,65.55,
1.01,65.55,
1.05,66.53,
1.10,68.06,
1.14,67.94,
1.19,67.56,
1.23,67.18,
1.27,64.68,
1.32,68.12,
1.36,53.42,
1.41,66.02,
1.45,50.26,
1.49,48.05,
1.54,48.43,
1.58,48.69,
1.63,48.69,
1.67,48.45,
1.71,48.07,
1.76,49.34,
1.80,49.34,
1.85,49.34,
1.89,49.34,
1.93,49.34,
1.98,49.34,
2.02,49.34,
2.07,49.34,
2.11,49.17,
2.15,48.79,
2.20,48.40,
2.24,48.02,
2.28,47.64,
2.33,47.39,
2.37,47.39,
2.42,47.39,
2.46,47.39,
2.50,47.39,
2.55,47.49,
2.59,47.87,
2.64,47.83,
2.68,47.45,
2.72,48.04,
2.77,47.33,
2.81,46.95,
2.86,47.69,
2.90,46.93,
2.94,47.03,
2.99,48.06,
3.03,48.44,
3.08,48.55,
3.12,48.17,
3.16,47.14,
3.21,46.76,
3.25,46.38,
3.30,45.75,
3.34,46.90,
3.38,45.23,
3.43,45.99,
3.47,46.09,
3.51,45.96,
3.56,45.20,
3.60,45.09,
3.65,44.32,
3.69,44.74,
3.73,44.18,
3.78,44.56,
3.82,44.65,
3.87,44.27,
3.91,43.11,
3.95,43.49,
4.00,41.74,
4.04,41.93,
4.09,42.12,
4.13,42.20,
4.17,42.20,
4.22,53.00,
4.26,65.22,
4.31,77.43,
4.35,88.17,
4.39,105.35,
4.44,103.82,
4.48,111.29,
4.53,129.61,
4.57,105.89,
4.61,121.16,
4.66,145.57,
4.70,145.96,
4.75,149.06,
4.79,150.70,
4.83,149.17,
4.88,148.55,
4.92,148.55,
4.96,151.45,
5.01,148.97,
5.05,147.83,
5.10,93.38,
5.14,107.51,
5.18,61.76,
5.23,62.72,
5.27,60.42,
5.32,57.77,
5.36,57.77,
5.40,57.77,
5.45,57.77,
5.49,58.54,
5.54,57.36,
5.58,58.12,
5.62,58.18,
5.67,57.80,
5.71,57.42,
5.76,57.20,
5.80,57.58,
5.84,57.77,
5.89,57.77,
5.93,57.77,
5.98,57.77,
6.02,57.77,
6.06,57.61,
6.11,57.22,
6.15,57.12,
6.20,57.12,
6.24,57.12,
6.28,57.12,
6.33,57.12,
6.37,57.36,
6.41,57.74,
6.46,58.12,
6.50,58.50,
6.55,58.89,
6.59,58.66,
6.63,57.89,
6.68,58.75,
6.72,57.15,
6.77,57.41,
6.81,57.66,
6.85,57.92,
