Time_mins,power_kw
0.00,19.23
0.04,18.88
0.08,19.92
0.11,20.26
0.15,20.22
0.19,22.62
0.23,21.50
0.27,22.19
0.30,23.21
0.34,24.17
0.38,24.51
0.42,25.10
0.46,26.47
0.49,25.85
0.53,26.88
0.57,28.30
0.61,28.99
0.65,28.44
0.68,30.98
0.72,31.67
0.76,32.88
0.80,33.23
0.84,33.41
0.87,33.41
0.91,32.79
0.95,32.79
0.99,33.72
1.03,33.41
1.06,33.41
1.10,33.31
1.14,32.97
1.18,32.91
1.22,33.13
1.25,33.36
1.29,33.59
1.33,33.82
1.37,33.99
1.41,33.64
1.44,33.30
1.48,32.96
1.52,32.97
1.56,33.32
1.60,32.66
1.63,31.63
1.67,31.88
1.71,32.18
1.75,32.18
1.79,32.06
1.82,31.71
1.86,32.60
1.90,32.26
1.94,32.44
1.98,32.78
2.02,33.12
2.05,33.35
2.09,33.01
2.13,32.73
2.17,32.56
2.21,32.38
2.24,32.21
2.28,31.91
2.32,31.56
2.36,31.56
2.40,31.63
2.43,31.97
2.47,32.04
2.51,31.69
2.55,32.58
2.59,32.24
2.62,32.18
2.66,32.18
2.70,32.53
2.74,32.79
2.78,32.79
2.81,32.65
2.85,32.30
2.89,32.39
2.93,32.74
2.97,32.22
3.00,31.57
3.04,31.92
3.08,32.18
3.12,32.18
3.16,32.02
3.19,31.68
3.23,32.34
3.27,31.65
3.31,31.58
3.35,32.15
3.38,31.81
3.42,29.09
3.46,29.09
3.50,30.37
3.54,31.75
3.57,31.94
3.61,31.60
3.65,30.94
3.69,30.98
3.73,31.32
3.76,31.45
3.80,31.11
3.84,31.12
3.88,31.46
3.92,31.31
3.95,30.97
3.99,31.26
4.03,31.52
4.07,31.17
4.11,30.94
4.14,30.94
4.18,30.94
4.22,30.94
4.26,30.94
4.30,30.94
4.33,30.62
4.37,30.33
4.41,30.33
4.45,31.68
4.49,32.03
4.52,31.98
4.56,31.64
4.60,31.82
4.64,32.17
4.68,32.51
4.71,32.79
4.75,32.79
4.79,32.66
4.83,32.31
4.87,32.07
4.90,31.90
4.94,31.73
4.98,32.81
5.02,35.21
5.06,36.09
5.09,37.12
5.13,36.02
5.17,36.36
5.21,37.08
5.25,36.05
5.28,35.07
5.32,33.42
5.36,33.76
5.40,34.11
5.44,34.45
5.47,34.64
5.51,34.64
5.55,34.42
5.59,34.07
5.63,32.53
5.66,31.58
5.70,31.92
