Time_mins,power_kw
0.00,46.98
0.04,46.51
0.08,46.03
0.12,45.55
0.16,45.63
0.20,46.11
0.24,46.58
0.28,46.82
0.32,45.87
0.35,45.57
0.39,46.05
0.43,47.34
0.47,48.69
0.51,50.59
0.55,50.89
0.59,50.41
0.63,50.23
0.67,50.23
0.71,49.30
0.75,50.75
0.79,49.32
0.83,47.22
0.87,47.70
0.91,47.79
0.95,45.40
0.99,45.87
1.02,48.43
1.06,47.95
1.10,45.85
1.14,45.38
1.18,43.27
1.22,45.33
1.26,42.00
1.30,39.41
1.34,38.93
1.38,39.69
1.42,39.28
1.46,42.61
1.50,42.11
1.54,42.11
1.58,45.08
1.62,44.55
1.66,45.97
1.69,46.82
1.73,43.49
1.77,42.13
1.81,43.56
1.85,42.50
1.89,42.19
1.93,42.66
1.97,41.51
2.01,41.99
2.05,42.15
2.09,42.20
2.13,42.25
2.17,42.30
2.21,42.36
2.25,42.41
2.29,42.46
2.33,42.52
2.36,42.57
2.40,42.62
2.44,42.67
2.48,42.73
2.52,42.78
2.56,42.83
2.60,42.89
2.64,43.10
2.68,43.57
2.72,42.42
2.76,42.90
2.80,42.92
2.84,42.92
2.88,42.92
2.92,42.92
2.96,42.92
3.00,42.92
3.03,42.92
3.07,42.92
3.11,42.92
3.15,42.92
3.19,42.58
3.23,43.73
3.27,43.25
3.31,42.92
3.35,42.92
3.39,42.92
3.43,42.92
3.47,42.92
3.51,42.92
3.55,42.92
3.59,42.92
3.63,42.92
3.67,42.82
3.70,42.92
3.74,42.92
3.78,43.65
3.82,43.41
3.86,43.17
3.90,42.94
3.94,42.15
3.98,42.20
4.02,42.24
4.06,42.29
4.10,42.34
4.14,42.39
4.18,42.43
4.22,42.48
4.26,42.53
4.30,42.58
4.34,42.63
4.37,42.67
4.41,42.72
4.45,42.77
4.49,42.82
4.53,42.86
4.57,42.91
4.61,42.52
4.65,43.67
4.69,43.19
4.73,43.02
4.77,43.26
4.81,43.49
4.85,43.73
4.89,43.25
4.93,43.06
4.97,43.54
5.01,43.45
5.04,42.98
5.08,43.31
5.12,42.84
5.16,42.36
5.20,42.92
5.24,42.92
5.28,42.56
5.32,42.12
5.36,42.35
5.40,42.59
5.44,42.83
5.48,42.11
5.52,42.11
5.56,42.11
5.60,42.11
5.64,42.11
5.68,42.11
5.71,42.11
5.75,42.11
5.79,42.11
5.83,42.11
5.87,43.10
5.91,43.58
5.95,42.92
5.99,42.92
6.03,43.38
6.07,42.23
6.11,42.70
6.15,42.89
6.19,42.83
6.23,42.77
6.27,42.71
6.31,42.65
6.35,42.59
6.38,42.53
6.42,42.47
6.46,42.41
6.50,42.35
6.54,42.29
6.58,42.23
6.62,42.17
6.66,42.11
6.70,43.34
6.74,43.00
6.78,43.48
6.82,43.51
6.86,43.03
6.90,42.92
6.94,42.92
6.98,42.92
7.02,42.84
7.05,42.60
7.09,42.36
7.13,42.12
7.17,42.48
7.21,42.21
7.25,42.68
7.29,42.43
7.33,41.48
7.37,40.20
7.41,38.06
7.45,38.30
7.49,38.54
7.53,38.78
7.57,38.53
7.61,38.06
7.65,38.50
7.69,37.35
7.72,37.83
7.76,38.04
7.80,38.04
7.84,37.64
7.88,38.79
7.92,38.32
7.96,38.11
8.00,38.27
8.04,38.43
8.08,38.59
8.12,38.74
8.16,39.00
8.20,39.47
8.24,38.32
8.28,38.80
8.32,40.09
8.36,40.40
8.39,39.92
