Time_mins,Power_kW
0.000000000000000000e+00,3.100382022471909949e+01
4.201216141514649283e-02,3.090238810110910350e+01
8.402432283029298565e-02,3.080757370037039067e+01
1.260364842454394785e-01,3.079308339699753461e+01
1.680486456605859713e-01,3.055691919097811038e+01
2.100608070757324641e-01,3.057294174156268340e+01
2.520729684908789570e-01,3.055845143818982734e+01
2.940851299060254220e-01,3.059760299625468249e+01
3.360972913211719426e-01,3.059760299625468249e+01
3.781094527363184632e-01,3.057370786516854011e+01
4.201216141514649283e-01,3.057370786516854011e+01
4.621337755666113933e-01,3.057370786516854011e+01
5.041459369817579139e-01,3.059594856553685815e+01
5.461580983969044345e-01,3.059232598969364503e+01
5.881702598120508441e-01,3.058870341385043190e+01
6.301824212271973646e-01,3.058508083800721877e+01
6.721945826423438852e-01,3.058145826216400565e+01
7.142067440574904058e-01,3.057783568632078897e+01
7.562189054726369264e-01,3.057421311047757584e+01
7.982310668877833360e-01,3.061007231839139564e+01
8.402432283029298565e-01,3.059862449439582477e+01
8.822553897180763771e-01,3.060345459552011249e+01
9.242675511332227867e-01,3.060828469664439666e+01
9.662797125483693073e-01,3.061311479776868083e+01
1.008291873963515828e+00,3.061794489889296500e+01
1.050304035378662348e+00,3.061766750931153780e+01
1.092316196793808869e+00,3.060317720593867818e+01
1.134328358208955390e+00,3.060651908994353931e+01
1.176340519624101688e+00,3.062100939331639893e+01
1.218352681039248209e+00,3.063549969668925499e+01
1.260364842454394729e+00,3.068399003732896091e+01
1.302377003869541250e+00,3.065500943058324523e+01
1.344389165284687770e+00,3.063571104113225019e+01
1.386401326699834291e+00,3.069290613101781773e+01
1.428413488114980812e+00,3.067841582764496167e+01
1.470425649530127332e+00,3.065856265903110156e+01
1.512437810945273853e+00,3.062958205228538944e+01
1.554449972360420151e+00,3.067228683879810447e+01
1.596462133775566672e+00,3.069214000741196102e+01
1.638474295190713192e+00,3.067764970403910496e+01
1.680486456605859713e+00,3.066928838951310965e+01
1.722498618021006234e+00,3.066928838951310965e+01
1.764510779436152754e+00,3.066928838951310965e+01
1.806522940851299275e+00,3.066747875271996193e+01
1.848535102266445573e+00,3.065298844934710587e+01
1.890547263681592094e+00,3.068628840814653103e+01
1.932559425096738615e+00,3.067179810477367496e+01
1.974571586511885135e+00,3.070516410871153923e+01
2.016583747927031656e+00,3.071707865168539442e+01
2.058595909342177954e+00,3.071707865168539442e+01
2.100608070757324697e+00,3.066162715345453194e+01
2.142620232172470995e+00,3.064713685008167587e+01
2.184632393587617738e+00,3.065813997014511472e+01
2.226644555002764037e+00,3.066928838951310965e+01
2.268656716417910779e+00,3.066928838951310965e+01
2.310668877833057078e+00,3.066928838951310965e+01
2.352681039248203376e+00,3.066928838951310965e+01
2.394693200663350119e+00,3.069631406016111796e+01
2.436705362078496417e+00,3.069729152820996987e+01
2.478717523493643160e+00,3.071178183158282593e+01
2.520729684908789459e+00,3.072627213495568554e+01
2.562741846323936201e+00,3.074076243832854161e+01
2.604754007739082500e+00,3.072669482384167594e+01
2.646766169154229242e+00,3.071707865168539442e+01
2.688778330569375541e+00,3.071707865168539442e+01
2.730790491984521839e+00,3.071707865168539442e+01
2.772802653399668582e+00,3.071652387252253291e+01
2.814814814814814881e+00,3.070203356914967330e+01
2.856826976229961623e+00,3.069882377542168328e+01
2.898839137645107922e+00,3.071331407879454289e+01
2.940851299060254664e+00,3.072780438216739896e+01
2.982863460475400963e+00,3.073965288000281504e+01
3.024875621890547706e+00,3.072516257662995898e+01
3.066887783305694004e+00,3.075846253542938769e+01
3.108899944720840303e+00,3.074397223205652807e+01
3.150912106135987045e+00,3.071616722877497807e+01
3.192924267551133344e+00,3.069944459972298390e+01
3.234936428966280086e+00,3.074291550984155208e+01
3.276948590381426385e+00,3.073142365575369084e+01
3.318960751796573128e+00,3.076040426249940651e+01
3.360972913211719426e+00,3.075261093616395769e+01
3.402985074626865725e+00,3.079411370115713709e+01
3.444997236042012467e+00,3.118535189222427917e+01
3.487009397457158766e+00,3.097127318049784606e+01
3.529021558872305508e+00,3.134802106819212497e+01
3.571033720287451807e+00,3.144480361405622659e+01
3.613045881702598550e+00,3.129924012894329977e+01
3.655058043117744848e+00,3.142965285929901142e+01
3.697070204532891147e+00,3.146072929843775867e+01
3.739082365948037889e+00,3.146555939956204639e+01
3.781094527363184188e+00,3.147038950068633056e+01
3.823106688778330930e+00,3.147521960181061473e+01
3.865118850193477229e+00,3.148004970293490246e+01
3.907131011608623972e+00,3.147225197359022530e+01
3.949143173023770270e+00,3.145789376049424035e+01
3.991155334438917013e+00,3.147238406386709642e+01
4.033167495854063311e+00,3.146297923615381364e+01
4.075179657269210054e+00,3.147746953952666971e+01
4.117191818684355908e+00,3.144077486061163285e+01
4.159203980099502651e+00,3.140754094695063969e+01
4.201216141514649394e+00,3.136407003683206796e+01
4.243228302929796136e+00,3.144007478214420814e+01
4.285240464344941991e+00,3.139660387202563996e+01
4.327252625760088733e+00,3.138614232209737764e+01
4.369264787175235476e+00,3.138454402974722868e+01
4.411276948590381330e+00,3.137005372637436906e+01
4.453289110005528073e+00,3.135556342300151300e+01
4.495301271420674816e+00,3.134107311962865694e+01
4.537313432835821558e+00,3.136189054726368042e+01
4.579325594250967413e+00,3.139087115400939609e+01
4.621337755666114155e+00,3.141985176075510822e+01
4.663349917081260898e+00,3.139359221371296016e+01
4.705362078496406752e+00,3.140808251708581622e+01
4.747374239911553495e+00,3.142257282045867228e+01
4.789386401326700238e+00,3.143080204470779648e+01
4.831398562741846980e+00,3.141631174133494042e+01
4.873410724156992835e+00,3.141003745318352003e+01
4.915422885572139577e+00,3.141003745318352003e+01
4.957435046987286320e+00,3.142333894406452899e+01
4.999447208402433063e+00,3.142613925793421714e+01
5.041459369817578917e+00,3.139715865118850147e+01
5.083471531232725660e+00,3.135614462021974802e+01
5.125483692647872402e+00,3.126920279998260810e+01
5.167495854063018257e+00,3.131156415177545327e+01
5.209508015478164999e+00,3.110814512539259624e+01
5.251520176893311742e+00,3.120957724900259578e+01
5.293532338308458485e+00,3.105161048689138781e+01
5.335544499723604339e+00,3.105161048689138781e+01
5.377556661138751082e+00,3.105161048689138781e+01
5.419568822553897824e+00,3.104618157651194821e+01
5.461580983969043679e+00,3.103169127313908859e+01
5.503593145384190422e+00,3.105161048689138781e+01
5.545605306799337164e+00,3.105161048689138781e+01
5.587617468214483907e+00,3.105161048689138781e+01
5.629629629629629761e+00,3.103700790678318810e+01
5.671641791044776504e+00,3.105874336184247397e+01
5.713653952459923246e+00,3.108047881690175984e+01
5.755666113875069101e+00,3.107550561797752664e+01
5.797678275290215844e+00,3.107550561797752664e+01
5.839690436705362586e+00,3.107550561797752664e+01
5.881702598120509329e+00,3.107550561797752664e+01
5.923714759535655183e+00,3.107550561797752664e+01
5.965726920950801926e+00,3.107550561797752664e+01
6.007739082365948668e+00,3.107550561797752664e+01
6.049751243781095411e+00,3.108323289917453991e+01
6.091763405196241266e+00,3.109772320254739597e+01
6.133775566611388008e+00,3.106096247849392356e+01
6.175787728026534751e+00,3.097651716448966042e+01
6.217799889441680605e+00,3.096202686111680435e+01
6.259812050856827348e+00,3.094062823626354231e+01
6.301824212271974091e+00,3.095511853963639837e+01
6.343836373687120833e+00,3.094924052231559486e+01
6.385848535102266688e+00,3.094199537062916860e+01
6.427860696517413430e+00,3.093475021894273880e+01
6.469872857932560173e+00,3.092287530305194920e+01
6.511885019347706027e+00,3.090838499967908959e+01
6.553897180762852770e+00,3.099906497475171108e+01
6.595909342177999513e+00,3.097004474092293336e+01
6.637921503593146255e+00,3.094106413417721768e+01
6.679933665008292110e+00,3.096221178750442604e+01
6.721945826423438852e+00,3.102678411935329805e+01
6.763957987838585595e+00,3.100504866429400863e+01
6.805970149253731449e+00,3.098331320923472632e+01
6.847982310668878192e+00,3.096157775417544045e+01
6.889994472084024935e+00,3.094909522301103877e+01
6.932006633499171677e+00,3.098131204154011442e+01
6.974018794914317532e+00,3.099580234491297048e+01
7.016030956329464274e+00,3.102124293223851481e+01
7.058043117744611017e+00,3.100675262886565875e+01
7.100055279159756871e+00,3.104005258766508746e+01
7.142067440574903614e+00,3.102771535580524542e+01
7.184079601990050357e+00,3.102771535580524542e+01
7.226091763405197099e+00,3.102771535580524542e+01
7.268103924820342954e+00,3.102771535580524542e+01
7.310116086235489696e+00,3.102771535580524542e+01
7.352128247650636439e+00,3.102771535580524542e+01
7.394140409065782293e+00,3.102771535580524542e+01
7.436152570480929036e+00,3.104360581611294378e+01
7.478164731896075779e+00,3.102911551274008772e+01
7.520176893311222521e+00,3.097535477005318683e+01
7.562189054726368376e+00,3.096149850000931636e+01
7.604201216141515118e+00,3.088904698314503250e+01
7.646213377556661861e+00,3.095119545841329867e+01
7.688225538971808604e+00,3.086425363817615874e+01
7.730237700386954458e+00,3.083273689811450424e+01
7.772249861802101201e+00,3.080094276847141543e+01
7.814262023217247943e+00,3.068502034148856339e+01
7.856274184632393798e+00,3.066478411107177493e+01
7.898286346047540540e+00,3.071628611002416065e+01
7.940298507462687283e+00,3.062934428978701717e+01
7.982310668877834026e+00,3.049378003863330022e+01
8.024322830292980768e+00,3.053725094875187196e+01
8.066334991708126623e+00,3.053950969248638003e+01
8.108347153123272477e+00,3.055071094796512909e+01
8.150359314538420108e+00,3.056520125133798516e+01
8.192371475953565962e+00,3.051993391345395423e+01
8.234383637368711817e+00,3.050544361008109462e+01
