Time_mins,Power_kW
0.000000000000000000e+00,3.135999999999999943e+01
6.695869837296621052e-02,3.133932880017547618e+01
1.339173967459324210e-01,3.131865760035095292e+01
2.008760951188986454e-01,3.129798640052643321e+01
2.678347934918648421e-01,3.127731520070190996e+01
3.347934918648310387e-01,3.134544125173649221e+01
4.017521902377972909e-01,3.121763544636981891e+01
4.687108886107634875e-01,3.123830664619433861e+01
5.356695869837296842e-01,3.128857692963856607e+01
6.026282853566958808e-01,3.135151665813653210e+01
6.695869837296620775e-01,3.140319465769783847e+01
7.365456821026282741e-01,3.145487265725914483e+01
8.035043804755945818e-01,3.146568984426409443e+01
8.704630788485607784e-01,3.149669664400087754e+01
9.374217772215269751e-01,3.152770344373766065e+01
1.004380475594493172e+00,3.153759450171821399e+01
1.071339173967459368e+00,3.153244522434257036e+01
1.138297872340425565e+00,3.151177402451804710e+01
1.205256570713391762e+00,3.155593185640125853e+01
1.272215269086357958e+00,3.154215105651824302e+01
1.339173967459324155e+00,3.152837025663522752e+01
1.406132665832290352e+00,3.151458945675221202e+01
1.473091364205256548e+00,3.151877555994248326e+01
1.540050062578222745e+00,3.156904584338670716e+01
1.607008760951189164e+00,3.158971704321123042e+01
1.673967459324155360e+00,3.178316687382710626e+01
1.740926157697121557e+00,3.170426068094855054e+01
1.807884856070087753e+00,3.178694548024664357e+01
1.874843554443053950e+00,3.187959542784723865e+01
1.941802252816020147e+00,3.183358533791523470e+01
2.008760951188986343e+00,3.183358533791523470e+01
2.075719649561952540e+00,3.183510418951524557e+01
2.142678347934918737e+00,3.181428480904681777e+01
2.209637046307884933e+00,3.183632667982744735e+01
2.276595744680851130e+00,3.187766907947649386e+01
2.343554443053817327e+00,3.186974141502766145e+01
2.410513141426783523e+00,3.188007701493992485e+01
2.477471839799749720e+00,3.189041261485218470e+01
2.544430538172715917e+00,3.189504325997416601e+01
2.611389236545682113e+00,3.194498013696960825e+01
2.678347934918648310e+00,3.192430893714508500e+01
2.745306633291614506e+00,3.559352099631986022e+01
2.812265331664580703e+00,3.362086617435598157e+01
2.879224030037546900e+00,3.640351344105675935e+01
2.946182728410513096e+00,3.873935902122785535e+01
3.013141426783479293e+00,3.968564061319489866e+01
3.080100125156445490e+00,3.968104701323389349e+01
3.147058823529411686e+00,3.970171821305842030e+01
3.214017521902378327e+00,3.966319124564353871e+01
3.280976220275344524e+00,3.967734249713630845e+01
3.347934918648310720e+00,3.967734249713630845e+01
3.414893617021276917e+00,3.965907923277521974e+01
3.481852315394243114e+00,3.966641417464843755e+01
3.548811013767209310e+00,3.970734907752675014e+01
3.615769712140175507e+00,3.972802027735126984e+01
3.682728410513141704e+00,3.965989422631668759e+01
3.749687108886107900e+00,3.973331773537081801e+01
3.816645807259074097e+00,3.971264653554629831e+01
