Time_mins,power_kw
0.00,45.36
0.09,45.78
0.18,44.97
0.28,45.82
0.37,42.68
0.46,46.33
0.55,41.21
0.64,45.50
0.73,39.53
0.83,41.77
0.92,37.93
1.01,31.11
1.10,20.69
1.19,20.26
1.28,36.46
1.38,23.12
1.47,23.54
1.56,34.28
1.65,28.75
1.74,33.24
1.83,26.05
1.93,20.51
2.02,28.13
2.11,21.74
2.20,36.22
2.29,20.96
2.38,26.07
2.48,31.13
2.57,40.33
2.66,34.36
2.75,33.93
2.84,29.24
2.93,28.23
3.03,30.72
3.12,27.74
3.21,29.20
3.30,26.64
3.39,26.90
3.48,30.82
3.58,31.25
3.67,27.46
3.76,30.53
3.85,24.99
3.94,22.64
4.03,23.50
4.13,34.93
4.22,52.99
4.31,52.56
4.40,36.58
4.49,68.11
4.58,70.55
4.68,68.82
4.77,70.95
4.86,72.61
4.95,73.88
5.04,72.37
5.13,56.61
5.23,51.92
5.32,55.31
5.41,49.53
5.50,44.84
5.59,41.86
5.68,41.86
5.78,41.56
5.87,41.13
5.96,40.70
6.05,40.28
6.14,39.85
6.23,39.75
6.33,35.72
6.42,36.58
6.51,37.45
6.60,37.02
6.69,61.38
6.78,76.96
6.88,55.66
6.97,51.65
7.06,78.92
7.15,51.19
7.24,20.75
7.33,19.85
7.43,201.04
7.52,230.42
7.61,230.72
7.70,233.90
7.79,233.61
7.88,220.51
7.98,224.59
8.07,214.30
8.16,186.13
8.25,187.05
8.34,192.04
8.43,186.42
8.53,186.42
8.62,186.96
8.71,187.88
8.80,184.60
8.89,182.85
8.98,181.01
9.08,182.53
9.17,170.89
9.26,178.69
9.35,171.23
9.44,188.82
9.53,181.08
9.63,176.42
9.72,176.42
9.81,180.90
9.90,181.39
9.99,192.79
10.09,197.75
10.18,192.34
10.27,180.29
10.36,203.72
10.45,207.78
10.54,206.91
10.64,209.55
10.73,207.24
10.82,209.85
10.91,207.21
11.00,204.73
11.09,204.35
11.19,203.82
11.28,202.21
11.37,203.03
11.46,204.30
11.55,206.85
11.64,204.12
