Time_mins,Power_kW
0.000000000000000000e+00,3.016239316239316182e+01
6.768265351860151824e-02,3.026681681716195271e+01
1.353653070372030365e-01,3.015882563872702704e+01
2.030479605558045408e-01,3.014390797376005793e+01
2.707306140744060730e-01,2.944602734583012449e+01
3.384132675930076051e-01,2.943110968086315538e+01
4.060959211116090817e-01,3.023628682090358311e+01
4.737785746302106138e-01,2.946056824262113594e+01
5.414612281488121459e-01,3.045688458792896114e+01
6.091438816674136225e-01,3.008066979022604315e+01
6.768265351860152101e-01,3.006575212525907403e+01
7.445091887046166867e-01,2.984686158903101827e+01
8.121918422232181634e-01,2.990653224889890183e+01
8.798744957418197510e-01,3.010557181185598807e+01
9.475571492604212276e-01,2.955361820807809181e+01
1.015239802779022815e+00,2.860098342317078135e+01
1.082922456297624292e+00,2.812740937399834706e+01
1.150605109816225768e+00,2.787380906955985438e+01
1.218287763334827245e+00,2.846971503586474128e+01
1.285970416853428944e+00,2.924543361414719556e+01
1.353653070372030420e+00,2.875052506701094757e+01
1.421335723890631897e+00,2.930247867078884383e+01
1.489018377409233373e+00,2.915658696865330413e+01
1.556701030927834850e+00,2.934863277234411427e+01
1.624383684446436327e+00,2.887126749340106713e+01
1.692066337965038025e+00,2.887099669127459478e+01
1.759748991483639502e+00,2.863231405180307121e+01
1.827431645002240979e+00,2.836742247609123524e+01
1.895114298520842455e+00,2.835250481112426257e+01
1.962796952039443932e+00,2.741072565928684313e+01
2.030479605558045630e+00,2.896275151612668353e+01
2.098162259076647107e+00,2.869423354672122173e+01
2.165844912595248584e+00,3.036907405491897194e+01
2.233527566113850060e+00,2.966794380147137389e+01
2.301210219632451537e+00,2.853378917378917379e+01
2.368892873151053013e+00,2.853378917378917379e+01
2.436575526669654490e+00,2.968389757892223102e+01
2.504258180188255967e+00,2.866545787728217221e+01
2.571940833706857887e+00,2.868037554224914132e+01
2.639623487225459364e+00,2.994749401402919986e+01
2.707306140744060841e+00,3.023092964840163077e+01
2.774988794262662317e+00,2.989225038022886594e+01
2.842671447781263794e+00,2.987733271526189682e+01
2.910354101299865270e+00,2.991338472009920224e+01
2.978036754818466747e+00,2.925700746155251153e+01
3.045719408337068224e+00,2.858040246155889363e+01
3.113402061855669700e+00,2.915175962639880325e+01
3.181084715374271177e+00,2.885340632705939967e+01
3.248767368892872653e+00,2.848425593265575273e+01
3.316450022411474574e+00,2.866326791225939630e+01
3.384132675930076051e+00,2.846537042783569049e+01
3.451815329448677527e+00,2.848028809280265961e+01
3.519497982967279004e+00,2.910754823575083350e+01
3.587180636485880481e+00,2.897773982512664759e+01
3.654863290004481957e+00,2.896282216015967848e+01
3.722545943523083434e+00,2.894014542556900338e+01
3.790228597041684910e+00,2.896998075550294161e+01
3.857911250560286387e+00,2.870113311394351285e+01
3.925593904078887864e+00,2.871605077891048197e+01
3.993276557597489784e+00,2.866239663585248465e+01
4.060959211116091261e+00,2.810615729407302510e+01
4.128641864634692737e+00,2.885204054242153404e+01
4.196324518153294214e+00,2.839290142399062233e+01
4.264007171671895691e+00,2.815421878451909876e+01
4.331689825190497167e+00,3.053881989219504689e+01
4.399372478709098644e+00,3.249303400286815702e+01
4.467055132227700120e+00,3.136212900070362863e+01
4.534737785746301597e+00,3.237019580349925718e+01
4.602420439264903074e+00,3.238511346846622985e+01
4.670103092783504550e+00,3.266650042588187119e+01
4.737785746302106027e+00,3.253224144117913852e+01
4.805468399820707504e+00,3.256120549470616510e+01
4.873151053339308980e+00,3.257612315967313776e+01
4.940833706857910457e+00,3.265032294232653243e+01
5.008516360376511933e+00,3.253804602589004702e+01
5.076199013895114298e+00,3.101644419925908380e+01
5.143881667413715775e+00,3.154342513737404730e+01
5.211564320932317251e+00,3.048427092471916566e+01
5.279246974450918728e+00,3.107397199012618216e+01
5.346929627969520205e+00,3.105905432515920950e+01
5.414612281488121681e+00,2.979464387464387443e+01
5.482294935006723158e+00,2.989967977769860141e+01
5.549977588525324634e+00,2.985492678279769407e+01
5.617660242043926111e+00,2.978627255673423235e+01
5.685342895562527588e+00,2.986086088156908147e+01
5.753025549081129064e+00,2.982573902316618586e+01
5.820708202599730541e+00,2.978098602826527497e+01
5.888390856118332017e+00,2.977528740960385889e+01
5.956073509636933494e+00,2.989462872933961890e+01
6.023756163155534971e+00,2.979464387464387443e+01
6.091438816674136447e+00,2.986172038397049633e+01
6.159121470192737924e+00,2.980204972410261632e+01
6.226804123711339400e+00,2.953061180133344976e+01
6.294486777229940877e+00,2.982896510067284979e+01
6.362169430748542354e+00,2.964977651098673661e+01
6.429852084267143830e+00,2.939617620654824037e+01
6.497534737785745307e+00,2.927229012068993796e+01
6.565217391304347672e+00,2.918705809488417913e+01
6.632900044822949148e+00,2.933623474455388447e+01
6.700582698341550625e+00,2.922273333154552333e+01
6.768265351860152101e+00,2.937190998121522512e+01
6.835948005378753578e+00,2.976293647783562690e+01
6.903630658897355055e+00,2.983752480267047602e+01
6.971313312415956531e+00,3.132148513372179011e+01
7.038995965934558008e+00,2.890292779418732039e+01
7.106678619453159484e+00,2.963389337756886022e+01
7.174361272971760961e+00,2.985515048890215439e+01
7.242043926490362438e+00,3.537468652668112412e+01
7.309726580008963914e+00,3.449223658855209607e+01
7.377409233527565391e+00,3.868410044427068328e+01
7.445091887046166867e+00,3.860238884610913601e+01
7.512774540564768344e+00,3.950977612788459936e+01
7.580457194083369821e+00,3.945010546801672291e+01
7.648139847601971297e+00,3.942688712917310312e+01
7.715822501120572774e+00,3.948655778904097957e+01
7.783505154639174251e+00,3.944494845360824797e+01
7.851187808157775727e+00,3.941511312367430975e+01
7.918870461676377204e+00,3.920747853670309979e+01
7.986553115194979569e+00,3.911459340732312739e+01
8.054235768713580157e+00,3.889082843281858004e+01
8.121918422232182522e+00,3.895991829708548693e+01
8.189601075750783110e+00,3.875107098754790513e+01
8.257283729269385475e+00,3.868427705435325237e+01
8.324966382787986063e+00,3.875886537918810149e+01
8.392649036306588428e+00,3.871315868984179076e+01
8.460331689825189017e+00,3.880266467964361254e+01
8.528014343343791381e+00,3.874605526120542009e+01
8.595696996862391970e+00,3.871247579752286327e+01
8.663379650380994335e+00,3.877214645739074683e+01
8.731062303899596699e+00,3.867316239316240001e+01
8.798744957418197288e+00,3.867316239316240001e+01
8.866427610936799653e+00,3.870435173372869997e+01
8.934110264455400241e+00,3.874910472862960376e+01
9.001792917974002606e+00,3.874132211099490775e+01
9.069475571492603194e+00,3.869681637020947562e+01
9.137158225011205559e+00,3.868189870524250296e+01
9.204840878529806147e+00,3.877205226534675120e+01
9.272523532048408512e+00,3.875713460037978564e+01
9.340206185567009101e+00,3.871594912914500952e+01
9.407888839085611465e+00,3.870103146417803686e+01
9.475571492604212054e+00,3.867279739899193203e+01
9.543254146122814419e+00,3.863045807521827157e+01
9.610936799641415007e+00,3.870504640005312069e+01
9.678619453160017372e+00,3.876163227048031956e+01
9.746302106678617960e+00,3.871687927557941578e+01
9.813984760197220325e+00,3.886014537448872375e+01
9.881667413715820913e+00,3.899440435919144932e+01
9.949350067234423278e+00,3.900720270316864458e+01
1.001703272075302387e+01,3.903299954921649118e+01
1.008471537427162623e+01,3.894349355941466939e+01
1.015239802779022860e+01,3.907206569946148278e+01
1.022008068130882918e+01,3.908698336442845545e+01
1.028776333482743155e+01,3.908499355749916049e+01
1.035544598834603214e+01,3.907007589253218782e+01
1.042312864186463450e+01,3.908298608956161502e+01
1.049081129538323509e+01,3.913519791694601224e+01
1.055849394890183746e+01,3.918740974433040947e+01
1.062617660242043804e+01,3.904515032289124576e+01
1.069385925593904041e+01,3.906006798785821843e+01
1.076154190945764100e+01,3.909840414976228118e+01
1.082922456297624336e+01,3.915807480963016474e+01
1.089690721649484395e+01,3.912675595500337522e+01
1.096458987001344632e+01,3.919849497050752518e+01
1.103227252353204690e+01,3.918357730554055252e+01
1.109995517705064927e+01,3.906964025432873200e+01
1.116763783056924986e+01,3.918898157406449201e+01
1.123532048408785222e+01,3.921999430454831526e+01
1.130300313760645281e+01,3.926474729944922615e+01
1.137068579112505518e+01,3.913044121872449921e+01
1.143836844464365576e+01,3.914535888369147187e+01
1.150605109816225813e+01,3.926534777372966545e+01
1.157373375168086049e+01,3.940571746728627289e+01
1.164141640519946108e+01,3.939079980231930023e+01
1.170909905871806345e+01,3.925756515609496233e+01
1.177678171223666403e+01,3.927248282106193500e+01
1.184446436575526640e+01,3.928740048602890766e+01
1.191214701927386699e+01,3.930231815099587322e+01
1.197982967279246935e+01,3.934657663766583369e+01
1.204751232631106994e+01,3.933444941200207978e+01
1.211519497982967231e+01,3.936428474193601801e+01
1.218287763334827289e+01,3.931531665306654588e+01
1.225056028686687526e+01,3.934515198300047700e+01
1.231824294038547585e+01,3.934669437772082290e+01
1.238592559390407821e+01,3.933177671275385734e+01
1.245360824742267880e+01,3.931685904778688467e+01
1.252129090094128117e+01,3.935942207766501610e+01
1.258897355445988175e+01,3.938925740759896144e+01
1.265665620797848412e+01,3.941909273753289966e+01
1.272433886149708471e+01,3.944892806746683789e+01
1.279202151501568707e+01,3.940866096866096768e+01
1.285970416853428766e+01,3.940866096866096768e+01
1.292738682205289003e+01,3.940866096866096768e+01
1.299506947557149061e+01,3.940866096866096768e+01
1.306275212909009298e+01,3.940866096866096768e+01
1.313043478260869534e+01,3.940866096866096768e+01
1.319811743612729593e+01,3.940866096866096768e+01
1.326580008964589830e+01,3.942493264426030208e+01
1.333348274316449888e+01,3.945476797419424031e+01
1.340116539668310125e+01,3.940579988532476108e+01
1.346884805020170184e+01,3.943492877492877824e+01
1.353653070372030420e+01,3.943492877492877824e+01
1.360421335723890479e+01,3.938631390622425954e+01
1.367189601075750716e+01,3.940123157119123221e+01
1.373957866427610774e+01,3.946119658119658169e+01
1.380726131779471011e+01,3.946119658119658169e+01
1.387494397131331070e+01,3.946119658119658169e+01
1.394262662483191306e+01,3.946119658119658169e+01
1.401030927835051365e+01,3.947581989602608132e+01
1.407799193186911602e+01,3.941193414218963653e+01
1.414567458538771660e+01,3.942685180715660920e+01
1.421335723890631897e+01,3.943492877492877824e+01
1.428103989242491956e+01,3.943492877492877824e+01
1.434872254594352192e+01,3.942452055406783984e+01
1.441640519946212251e+01,3.940960288910087428e+01
1.448408785298072488e+01,3.950144013199145832e+01
1.455177050649932724e+01,3.951899517419015240e+01
1.461945316001792783e+01,3.939965385445439949e+01
1.468713581353653019e+01,3.952142061932291028e+01
1.475481846705513078e+01,3.947666762442199939e+01
1.482250112057373315e+01,3.942516812437028051e+01
1.489018377409233373e+01,3.941025045940330784e+01
1.495786642761093610e+01,3.936867644598707017e+01
1.502554908112953669e+01,3.935810338904915540e+01
1.509323173464813905e+01,3.937302105401612806e+01
1.516091438816673964e+01,3.942792324165699824e+01
1.522859704168534201e+01,3.933841725185517646e+01
