Time_mins,power_kw
0.00,36.88
0.04,37.80
0.09,38.05
0.13,38.05
0.17,37.98
0.21,37.53
0.26,38.26
0.30,38.32
0.34,38.50
0.38,38.05
0.43,38.05
0.47,36.55
0.51,37.05
0.55,36.38
0.60,36.84
0.64,36.47
0.68,36.30
0.73,36.45
0.77,36.88
0.81,36.88
0.85,36.53
0.90,36.34
0.94,36.42
0.98,36.51
1.02,36.59
1.07,36.67
1.11,36.75
1.15,36.84
1.20,36.92
1.24,37.00
1.28,37.09
1.32,37.17
1.37,37.25
1.41,37.33
1.45,37.42
1.49,37.29
1.54,36.93
1.58,37.39
1.62,37.34
1.66,37.19
1.71,37.04
1.75,36.89
1.79,36.74
1.84,36.58
1.88,36.43
1.92,36.18
1.96,35.27
2.01,35.14
2.05,34.03
2.09,31.96
2.13,32.80
2.18,32.34
2.22,31.88
2.26,31.53
2.31,31.30
2.35,31.07
2.39,30.65
2.43,30.46
2.48,30.46
2.52,30.46
2.56,30.46
2.60,30.12
2.65,29.88
2.69,29.96
2.73,30.42
2.77,30.46
2.82,31.35
2.86,32.06
2.90,31.62
2.95,31.39
2.99,31.16
3.03,30.82
3.07,30.46
3.12,30.46
3.16,30.46
3.20,31.93
3.24,30.88
3.29,31.63
3.33,31.63
3.37,30.83
3.42,32.21
3.46,32.10
3.50,31.65
3.54,30.61
3.59,30.46
3.63,30.46
3.67,30.51
3.71,30.97
3.76,31.05
3.80,31.05
3.84,31.05
3.88,31.05
3.93,31.05
3.97,31.05
4.01,31.05
4.06,31.05
4.10,31.05
4.14,31.05
4.18,30.78
4.23,30.60
4.27,31.05
4.31,31.05
4.35,30.71
4.40,30.46
4.44,30.46
4.48,30.46
4.53,30.06
4.57,29.88
4.61,29.88
4.65,29.90
4.70,30.35
4.74,30.46
4.78,30.46
4.82,30.46
4.87,30.46
4.91,30.46
4.95,30.75
4.99,30.89
5.04,30.46
5.08,30.46
5.12,30.82
5.17,30.82
5.21,30.46
5.25,30.46
5.29,30.46
5.34,30.46
5.38,30.46
5.42,30.46
5.46,30.46
