Time_mins,Power_kW
0.000000000000000000e+00,2.990996168582375603e+01
2.678963548528765989e-02,2.995426478679852167e+01
5.357927097057531979e-02,2.997021539735182927e+01
8.036890645586297621e-02,3.001451849832659491e+01
1.071585419411506396e-01,2.999975079800167421e+01
1.339481774264383029e-01,3.002928619865151560e+01
1.607378129117259524e-01,3.008358800397780897e+01
1.875274483970136297e-01,2.998021410170335699e+01
2.143170838823012792e-01,2.995716602977972443e+01
2.411067193675889286e-01,2.983902442718034820e+01
2.678963548528766059e-01,2.986855982783019314e+01
2.946859903381642831e-01,2.976518592555574116e+01
3.214756258234519049e-01,2.973980938823517661e+01
3.482652613087395821e-01,2.968073858693548672e+01
3.750548967940272593e-01,2.970672525690016741e+01
4.018445322793148811e-01,2.964765445560048107e+01
4.286341677646025583e-01,2.962636207148950618e+01
4.554238032498902355e-01,2.953775586953997845e+01
4.822134387351778573e-01,2.942796934865900482e+01
5.090030742204655345e-01,2.942796934865900482e+01
5.357927097057532118e-01,2.945162755322675352e+01
5.625823451910408890e-01,2.948116295387659491e+01
5.893719806763285662e-01,2.953069576322949530e+01
6.161616161616161325e-01,2.948639266225472966e+01
6.429512516469038097e-01,2.971168102817278367e+01
6.697408871321914869e-01,2.965845006789534466e+01
6.965305226174791642e-01,2.974705626984487594e+01
7.233201581027668414e-01,2.976640619084397343e+01
7.501097935880545187e-01,2.975163849051904918e+01
7.768994290733420849e-01,2.979655172413793096e+01
8.036890645586297621e-01,2.979655172413793096e+01
8.304787000439174394e-01,2.978067582370431055e+01
8.572683355292051166e-01,2.982497892467907619e+01
8.840579710144927938e-01,2.988695096895996528e+01
9.108476064997804711e-01,2.990171866928488598e+01
9.376372419850681483e-01,2.987508451161624734e+01
9.644268774703557146e-01,2.986031681129132309e+01
9.912165129556433918e-01,2.981967450618125426e+01
1.018006148440931069e+00,2.986397760715601990e+01
1.044795783926218746e+00,2.987271869115946998e+01
1.071585419411506424e+00,2.985795099083454929e+01
1.098375054896794101e+00,2.990492497858814858e+01
1.125164690382081778e+00,2.989754112842568645e+01
1.151954325867369455e+00,2.989015727826322433e+01
1.178743961352657132e+00,2.988277342810076576e+01
1.205533596837944588e+00,2.985325670498084349e+01
1.232323232323232265e+00,2.985325670498084349e+01
1.259112867808519942e+00,2.985325670498084349e+01
1.285902503293807619e+00,2.988159051787237885e+01
1.312692138779095297e+00,2.987420666770991673e+01
1.339481774264382974e+00,2.986682281754745460e+01
1.366271409749670651e+00,2.985943896738499248e+01
1.393061045234958328e+00,2.982730739007600462e+01
1.419850680720246006e+00,2.984207509040092887e+01
1.446640316205533683e+00,2.984967061923583742e+01
1.473429951690821360e+00,2.983490291891091317e+01
1.500219587176109037e+00,2.976819923371647647e+01
1.527009222661396715e+00,2.976819923371647647e+01
1.553798858146684170e+00,2.968768662806643732e+01
1.580588493631971847e+00,2.962861582676675098e+01
1.607378129117259524e+00,2.959771074058929941e+01
1.634167764602547201e+00,2.947956913798992673e+01
1.660957400087834879e+00,2.951982544081494808e+01
1.687747035573122556e+00,2.943121923886541680e+01
1.714536671058410233e+00,2.962643678160919691e+01
1.741326306543697910e+00,2.962643678160919691e+01
1.768115942028985588e+00,2.965889832861347131e+01
1.794905577514273265e+00,2.982134303218760962e+01
1.821695212999560942e+00,2.985588401085652421e+01
1.848484848484848619e+00,2.992972251248113480e+01
1.875274483970136297e+00,2.991431147501445764e+01
1.902064119455423752e+00,2.991923404178943002e+01
1.928853754940711429e+00,2.992415660856440596e+01
1.955643390425999106e+00,2.992907917533937834e+01
1.982433025911286784e+00,2.993400174211435427e+01
2.009222661396574683e+00,2.991270728272227686e+01
2.036012296881862138e+00,2.993485883320965968e+01
2.062801932367149593e+00,2.995701038369703895e+01
2.089591567852437493e+00,2.997916193418442177e+01
2.116381203337724948e+00,2.996666666666666501e+01
2.143170838823012847e+00,2.996666666666666501e+01
2.169960474308300302e+00,2.999770872139687583e+01
2.196750109793588202e+00,3.000509257155933796e+01
2.223539745278875657e+00,3.001247642172180008e+01
2.250329380764163556e+00,3.001986027188425865e+01
2.277119016249451011e+00,2.999501915708812305e+01
2.303908651734738910e+00,2.999501915708812305e+01
2.330698287220026366e+00,3.001890771785824441e+01
2.357487922705314265e+00,3.001152386769578229e+01
2.384277558190601720e+00,3.000414001753332016e+01
2.411067193675889175e+00,2.999675616737086159e+01
2.437856829161177075e+00,3.000078428799068320e+01
2.464646464646464530e+00,2.997124888734084180e+01
2.491436100131752429e+00,2.997346528755824124e+01
2.518225735617039884e+00,2.991439448625855491e+01
2.545015371102327784e+00,2.995300716645044403e+01
2.571805006587615239e+00,2.993823946612552334e+01
2.598594642072903138e+00,2.992347176580060264e+01
2.625384277558190593e+00,2.990870406547568194e+01
2.652173913043478493e+00,2.989393636515075769e+01
