Time_mins,power_kw
0.00,38.45
0.03,38.91
0.05,37.94
0.08,38.40
0.10,38.85
0.13,39.02
0.16,38.57
0.18,38.45
0.21,38.54
0.24,38.99
0.26,39.16
0.29,39.16
0.31,39.16
0.34,38.94
0.37,38.49
0.39,38.45
0.42,38.45
0.45,38.45
0.47,38.81
0.50,39.16
0.52,39.16
0.55,39.16
0.58,39.16
0.60,39.16
0.63,39.16
0.65,39.16
0.68,39.16
0.71,38.98
0.73,38.52
0.76,38.84
0.79,39.16
0.81,39.16
0.84,39.16
0.86,39.16
0.89,39.16
0.92,39.16
0.94,39.16
0.97,39.16
1.00,39.16
1.02,39.16
1.05,39.16
1.07,39.16
1.10,39.16
1.13,39.16
1.15,39.07
1.18,38.62
1.21,38.45
1.23,38.45
1.26,38.45
1.28,38.45
1.31,38.45
1.34,38.45
1.36,38.45
1.39,38.45
1.41,38.82
1.44,39.14
1.47,39.05
1.49,38.96
1.52,38.87
1.55,38.78
1.57,38.69
1.60,38.60
1.62,38.51
1.65,38.41
1.68,38.32
1.70,38.23
1.73,38.14
1.76,38.05
1.78,37.96
1.81,37.87
1.83,37.78
1.86,38.02
1.89,38.45
1.91,38.45
1.94,38.45
1.96,38.45
1.99,38.45
2.02,38.29
2.04,37.84
2.07,38.81
2.10,38.35
2.12,37.90
2.15,37.45
2.17,37.04
2.20,37.04
2.23,37.04
2.25,37.04
2.28,37.04
2.31,37.22
2.33,37.67
2.36,37.74
2.38,37.74
2.41,37.74
2.44,37.91
2.46,38.13
2.49,38.36
2.51,36.85
2.54,37.75
2.57,38.21
2.59,39.26
2.62,37.89
2.65,43.30
2.67,52.14
2.70,46.25
2.72,49.44
2.75,54.41
2.78,48.97
2.80,52.48
2.83,46.23
2.86,45.77
2.88,43.90
2.91,43.45
2.93,42.00
2.96,40.41
2.99,39.96
3.01,38.09
3.04,37.63
3.06,37.18
3.09,38.45
3.12,38.45
3.14,38.45
3.17,38.45
3.20,38.45
3.22,39.28
3.25,39.16
3.27,39.16
3.30,40.09
3.33,41.87
3.35,41.41
3.38,40.92
3.41,41.37
3.43,41.82
3.46,41.45
3.48,40.60
3.51,41.05
3.54,41.51
3.56,41.96
3.59,41.59
3.62,40.82
3.64,39.46
3.67,38.81
3.69,36.23
3.72,35.77
3.75,35.20
3.77,36.08
3.80,33.36
3.82,34.55
3.85,33.87
3.88,33.19
3.90,32.25
3.93,32.70
3.96,32.40
3.98,31.70
4.01,30.34
4.03,31.11
4.06,29.88
4.09,29.42
4.11,30.65
4.14,30.64
4.17,30.19
4.19,30.14
4.22,30.60
4.24,30.65
4.27,30.50
4.30,30.05
4.32,30.28
4.35,30.56
4.37,30.11
4.40,28.95
4.43,29.91
4.45,29.46
4.48,29.46
4.51,29.91
4.53,29.09
4.56,28.69
4.58,29.14
4.61,29.32
4.64,29.44
4.66,29.55
4.69,29.66
4.72,29.78
4.74,29.89
4.77,30.19
4.79,30.64
4.82,30.65
4.85,30.65
4.87,30.65
4.90,30.65
4.92,30.65
4.95,30.65
4.98,30.65
5.00,30.58
5.03,30.12
5.06,31.57
5.08,30.62
5.11,29.71
5.13,38.76
5.16,46.92
5.19,39.76
5.21,64.13
5.24,109.94
5.27,71.44
5.29,112.44
5.32,136.48
5.34,132.46
5.37,142.39
5.40,154.63
5.42,150.08
5.45,150.53
5.48,163.73
5.50,167.22
5.53,168.13
5.55,168.81
5.58,168.58
5.61,168.35
5.63,168.26
5.66,167.89
5.68,170.16
5.71,155.97
5.74,167.55
5.76,163.92
5.79,156.01
5.82,161.90
5.84,167.58
5.87,67.41
5.89,26.59
5.92,57.78
5.95,98.06
5.97,41.36
6.00,21.97
6.03,25.00
6.05,25.45
6.08,30.16
6.10,30.62
6.13,30.65
6.16,30.65
6.18,30.65
6.21,30.65
6.23,30.65
6.26,30.65
6.29,30.65
6.31,30.65
6.34,30.65
6.37,30.40
6.39,29.95
6.42,29.94
6.44,29.94
6.47,29.94
6.50,29.94
6.52,29.94
6.55,29.94
6.58,29.94
6.60,30.01
6.63,30.47
6.65,31.63
6.68,32.04
6.71,31.13
6.73,30.94
6.76,30.03
6.78,30.08
6.81,30.23
6.84,30.38
6.86,30.53
6.89,30.68
6.92,30.83
6.94,30.98
6.97,31.14
6.99,31.29
7.02,31.12
7.05,30.67
7.07,30.65
7.10,30.65
7.13,30.65
7.15,31.02
7.18,31.35
7.20,31.32
7.23,31.28
7.26,31.25
7.28,31.22
7.31,31.18
7.34,31.15
7.36,31.12
7.39,31.08
7.41,31.05
7.44,31.01
7.47,30.98
7.49,30.95
7.52,30.91
7.54,30.88
7.57,30.85
7.60,30.81
7.62,30.78
7.65,30.75
7.68,30.71
7.70,30.68
7.73,30.65
