Time_mins,power_kw
0,37.17
0.03,36.36
0.06,35.79
0.1,35.79
0.13,35.79
0.16,35.79
0.19,35.79
0.23,35.97
0.26,36.78
0.29,36.75
0.32,35.93
0.35,35.64
0.39,34.62
0.42,33.6
0.45,33.2
0.48,33.61
0.52,33.71
0.55,33.71
0.58,33.71
0.61,33.86
0.64,34.26
0.68,34.41
0.71,34.41
0.74,34.02
0.77,33.71
0.81,33.71
0.84,33.71
0.87,33.71
0.9,34.07
0.93,33.09
0.97,33.5
1,33.52
1.03,33.11
1.06,32.82
1.1,26.97
1.13,29.01
1.16,18.81
1.19,19.63
1.23,20.01
1.26,19.19
1.29,19.19
1.32,17.68
1.35,17.27
1.39,21.11
1.42,23.15
1.45,20.67
1.48,31.38
1.52,33.42
1.55,27.94
1.58,32.84
1.61,31.39
1.64,32.72
1.68,30.27
1.71,29.38
1.74,27.34
1.77,27.1
1.81,27.49
1.84,27.49
1.87,27.49
1.9,27.49
1.93,28.02
1.97,28.83
2,29.65
2.03,35.44
2.06,31.36
2.1,33.94
2.13,34.35
2.16,38.91
2.19,40.56
2.22,40.16
2.26,39.75
2.29,39.34
2.32,38.3
2.35,36.55
2.39,37.36
2.42,35.41
2.45,36.23
2.48,36.61
2.51,35.8
2.55,35.66
2.58,35.52
2.61,35.38
2.64,35.25
2.68,35.11
2.71,34.73
2.74,34.41
2.77,34.41
2.8,35.58
2.84,35.17
2.87,34.77
2.9,33.02
2.93,33.02
2.97,33.02
3,33.02
3.03,34.7
3.06,35.11
3.09,35.52
3.13,34.41
3.16,34.41
3.19,34.41
3.22,34.41
3.26,34.41
3.29,35.69
3.32,35.28
3.35,34.87
3.39,34.46
3.42,34.06
3.45,32.33
3.48,32.33
3.51,32.33
3.55,32.33
3.58,32.33
3.61,32.33
3.64,32.33
3.68,32.33
3.71,32.33
3.74,32.61
3.77,33.02
3.8,33.12
3.84,33.23
3.87,33.33
3.9,33.43
3.93,33.53
3.97,33.63
4,33.8
4.03,34.21
4.06,34.41
4.09,34.41
4.13,34.41
4.16,34.41
4.19,34.41
4.22,34.41
4.26,34.41
4.29,34.41
4.32,34.39
4.35,33.99
4.38,33.58
4.42,33.17
4.45,32.76
4.48,32.35
4.51,32.56
4.55,29.56
4.58,29.56
4.61,30.27
4.64,29.05
4.67,26.1
4.71,29.61
4.74,38.58
4.77,36.92
4.8,34.88
4.84,41.49
4.87,44.81
4.9,45.22
4.93,45.93
4.96,47.16
5,47.27
5.03,46.87
5.06,46.46
5.09,46.05
5.13,45.64
5.16,45.23
5.19,44.83
5.22,43.73
5.25,41.41
5.29,41.81
5.32,40.15
5.35,40.55
5.38,39.91
5.42,40.61
5.45,40.45
5.48,40.29
5.51,40.12
5.55,39.96
5.58,39.8
5.61,39.64
5.64,39.47
5.67,39.31
5.71,39.51
5.74,39.92
5.77,39.94
5.8,39.94
5.84,39.94
5.87,39.72
5.9,39.31
5.93,39.3
5.96,39.37
6,39.43
6.03,39.49
6.06,39.55
6.09,39.62
6.13,39.68
6.16,39.74
6.19,39.8
6.22,39.87
6.25,39.93
6.29,39.99
6.32,40.06
6.35,40.12
6.38,40.18
6.42,40.24
6.45,40.31
6.48,40.37
6.51,40.43
6.54,40.49
6.58,40.56
6.61,40.62
6.64,40.3
6.67,39.94
6.71,39.94
6.74,39.77
6.77,39.36
6.8,41.51
6.83,40.49
6.87,65.37
6.9,62.85
6.93,109.76
6.96,102.31
7,143.11
7.03,136.07
7.06,145.4
7.09,140.92
7.12,151.54
7.16,151.95
7.19,152.7
7.22,153.76
7.25,156.21
7.29,156.31
7.32,161.21
7.35,155.49
7.38,156.39
7.42,160.06
7.45,162.18
7.48,159.73
7.51,153.65
7.54,156.1
7.58,123.58
7.61,75.65
7.64,40.16
7.67,88.33
7.71,50.39
7.74,20.21
7.77,19.96
7.8,20.37
7.83,20.57
7.87,20.57
7.9,20.57
7.93,20.53
7.96,20.12
8,20.05
8.03,20.45
8.06,21.48
8.09,23.48
8.12,31.64
8.16,24.51
8.19,36.75
8.22,35.15
8.25,47.39
8.29,50.16
8.32,50.82
8.35,50
8.38,50.88
8.41,50.77
8.45,32.4
8.48,29.54
8.51,24.64
8.54,27.17
8.58,21.87
8.61,29.41
8.64,21.65
8.67,28.18
8.7,37.68
8.74,58.07
8.77,50.02
8.8,64.98
8.83,57.49
