Time_mins,Power_kW
0.000000000000000000e+00,3.204720797720797520e+01
4.009077155824508631e-02,3.208733482464193543e+01
8.018154311649017263e-02,3.204459435112990207e+01
1.202723146747352589e-01,3.214491146971479907e+01
1.603630862329803453e-01,3.216133631595053544e+01
2.004538577912254316e-01,3.218139973966751910e+01
2.405446293494705179e-01,3.213007529815396879e+01
2.806354009077156042e-01,3.214883190883190878e+01
3.207261724659606905e-01,3.214883190883190878e+01
3.608169440242057768e-01,3.214855004719603926e+01
4.009077155824508631e-01,3.220874031834697604e+01
4.409984871406959495e-01,3.220015635034545909e+01
4.810892586989410358e-01,3.220089944011274952e+01
5.211800302571860666e-01,3.230121655869764652e+01
5.612708018154312084e-01,3.232809590924568255e+01
6.013615733736763502e-01,3.234815933296265911e+01
6.414523449319213810e-01,3.230206214360526218e+01
6.815431164901664118e-01,3.224812407601363873e+01
7.216338880484115537e-01,3.222806065229665506e+01
7.617246596066566955e-01,3.215741587683342573e+01
8.018154311649017263e-01,3.217747930055040229e+01
8.419062027231467571e-01,3.213399573727107850e+01
8.819969742813918989e-01,3.176288645796966392e+01
9.220877458396370407e-01,3.150206194964894024e+01
9.621785173978820715e-01,3.156568580800048096e+01
1.002269288956127102e+00,3.154562238428350440e+01
1.042360060514372133e+00,3.131554641805776384e+01
1.082450832072617386e+00,3.128545128248229545e+01
1.122541603630862417e+00,3.125535614690682706e+01
1.162632375189107448e+00,3.120631222226532486e+01
1.202723146747352700e+00,3.122637564598230142e+01
1.242813918305597731e+00,3.109592495614431940e+01
1.282904689863842762e+00,3.103573468499338261e+01
1.322995461422087793e+00,3.099401916288451986e+01
1.363086232980332824e+00,3.090013361435449113e+01
1.403177004538578077e+00,3.092019703807147124e+01
1.443267776096823107e+00,3.092388686312287049e+01
1.483358547655068138e+00,3.091385515126437866e+01
1.523449319213313391e+00,3.090382343940589038e+01
1.563540090771558422e+00,3.095284174026231838e+01
1.603630862329803453e+00,3.109328570628116850e+01
1.643721633888048483e+00,3.108813532548025549e+01
1.683812405446293514e+00,3.134895983380098272e+01
1.723903177004538767e+00,3.131136974108986237e+01
1.763993948562783798e+00,3.131631513161013913e+01
1.804084720121028829e+00,3.145675909762899281e+01
1.844175491679274081e+00,3.157296296296296134e+01
1.884266263237519112e+00,3.157296296296296134e+01
1.924357034795764143e+00,3.159228329691264747e+01
1.964447806354009174e+00,3.157444914249755286e+01
