Time_mins,power_kw
0.00,61.82
0.03,61.82
0.07,62.05
0.10,62.50
0.14,60.68
0.17,61.82
0.21,61.82
0.24,61.39
0.28,61.08
0.31,60.97
0.35,60.85
0.38,60.74
0.42,60.62
0.45,60.51
0.49,60.26
0.52,59.80
0.56,60.02
0.59,60.33
0.63,60.63
0.66,60.94
0.70,59.59
0.73,59.13
0.77,58.67
0.80,59.75
0.84,59.75
0.87,57.99
0.91,56.84
0.94,56.38
0.98,57.31
1.01,56.16
1.05,55.70
1.08,55.27
1.12,54.59
1.15,55.96
1.19,55.26
1.22,55.02
1.26,55.48
1.29,55.26
1.32,53.53
1.36,53.53
1.39,53.53
1.43,53.53
1.46,53.53
1.50,55.23
1.53,54.22
1.57,54.22
1.60,54.22
1.64,55.31
1.67,53.48
1.71,52.63
1.74,54.09
1.78,53.18
1.81,52.03
1.85,50.82
1.88,51.27
1.92,53.25
1.95,54.09
1.99,52.71
2.02,52.41
2.06,52.84
2.09,52.84
2.13,52.84
2.16,52.17
2.20,52.63
2.23,53.53
2.27,53.53
2.30,53.53
2.34,53.76
2.37,52.84
2.41,53.30
2.44,53.75
2.48,54.21
2.51,53.32
2.55,52.40
2.58,51.49
2.62,52.84
2.65,52.42
2.68,51.51
2.72,54.22
2.75,51.75
2.79,50.83
2.82,50.19
2.86,51.21
2.89,48.92
2.93,48.69
2.96,50.41
3.00,49.49
3.03,51.85
3.07,51.98
3.10,51.52
3.14,50.37
3.17,49.16
3.21,50.53
3.24,50.14
3.28,49.82
3.31,51.19
3.35,50.26
3.38,50.48
3.42,50.71
3.45,50.94
3.49,51.17
3.52,51.40
3.56,49.72
3.59,49.50
3.63,49.95
3.66,49.73
3.70,49.49
3.73,49.94
3.77,50.40
3.80,50.66
3.84,50.21
3.87,49.75
3.91,49.47
3.94,49.92
3.97,49.21
4.01,47.92
4.04,47.46
4.08,48.99
4.11,48.13
4.15,49.05
4.18,49.09
4.22,48.69
4.25,48.69
4.29,48.69
4.32,48.73
4.36,49.19
4.39,49.38
4.43,49.38
4.46,49.38
4.50,48.43
4.53,48.00
4.57,48.00
4.60,48.25
4.64,49.36
4.67,48.90
4.71,48.45
4.74,48.01
4.78,48.93
4.81,47.08
4.85,47.99
4.88,47.09
4.92,48.58
4.95,48.35
4.99,48.12
5.02,48.00
5.06,48.00
5.09,48.00
5.13,47.80
5.16,47.34
5.20,47.84
5.23,48.00
5.27,48.00
5.30,46.75
5.33,47.30
5.37,47.30
5.40,47.30
5.44,47.30
5.47,47.30
5.51,46.32
5.54,47.67
5.58,46.76
5.61,47.61
5.65,45.92
5.68,45.92
5.72,46.93
5.75,46.61
5.79,46.61
5.82,48.69
5.86,48.39
5.89,49.76
5.93,48.33
5.96,47.88
6.00,47.42
6.03,51.10
6.07,47.42
6.10,47.87
6.14,53.88
6.17,56.19
6.21,55.73
6.24,55.28
6.28,55.73
6.31,59.85
6.35,60.64
6.38,57.46
6.42,67.99
6.45,55.99
6.49,63.83
6.52,63.37
6.56,43.67
6.59,41.71
6.62,41.26
6.66,40.51
6.69,39.75
6.73,40.21
6.76,40.67
6.80,41.86
6.83,42.77
6.87,43.52
6.90,45.86
6.94,44.95
6.97,44.79
7.01,45.25
7.04,45.71
7.08,45.68
7.11,45.22
7.15,44.76
7.18,44.30
7.22,43.85
7.25,43.85
7.29,45.46
7.32,45.91
7.36,47.79
7.39,48.24
7.43,54.64
7.46,56.63
7.50,66.46
7.53,58.36
7.57,54.41
7.60,45.85
7.64,46.14
7.67,46.43
7.71,46.48
7.74,46.19
7.78,45.90
7.81,46.92
7.85,45.47
7.88,52.03
7.92,117.29
7.95,155.54
7.98,170.49
8.02,197.61
8.05,218.18
8.09,209.55
8.12,223.08
8.16,224.53
8.19,222.82
8.23,223.15
8.26,221.99
8.30,217.83
8.33,215.01
8.37,217.62
8.40,215.83
8.44,213.86
8.47,215.60
8.51,215.78
8.54,217.76
8.58,219.50
8.61,219.05
8.65,220.43
8.68,220.43
8.72,222.22
8.75,219.99
8.79,219.99
8.82,219.99
8.86,220.04
8.89,220.33
8.93,219.43
8.96,216.73
9.00,218.47
9.03,212.62
9.07,207.95
9.10,213.46
9.14,214.31
9.17,218.21
9.21,217.92
9.24,217.70
9.27,219.38
9.31,217.06
9.34,218.74
9.38,217.77
9.41,217.19
9.45,207.29
9.48,212.88
9.52,209.70
9.55,214.06
9.59,214.33
9.62,217.23
9.66,217.80
9.69,218.67
9.73,217.65
9.76,216.72
9.80,213.53
9.83,214.00
9.87,214.53
9.90,218.87
9.94,213.59
9.97,211.98
10.01,211.69
10.04,216.71
10.08,213.51
10.11,209.45
10.15,214.31
10.18,219.00
10.22,218.71
10.25,218.17
10.29,217.80
10.32,217.80
10.36,218.30
10.39,216.86
10.43,215.41
10.46,216.11
10.50,217.24
10.53,215.50
10.57,217.53
10.60,214.21
10.63,213.92
10.67,216.72
10.70,218.32
10.74,218.61
10.77,217.82
10.81,217.51
10.84,218.09
10.88,218.45
10.91,217.53
10.95,216.37
10.98,214.63
11.02,215.80
11.05,216.67
11.09,212.25
11.12,208.64
11.16,204.30
11.19,192.67
11.23,198.75
11.26,189.77
11.30,192.44
11.33,189.83
11.37,187.22
11.40,185.36
11.44,205.13
11.47,163.49
11.51,157.99
11.54,141.18
11.58,141.45
11.61,146.17
11.65,147.44
11.68,146.06
11.72,145.22
11.75,144.76
11.79,144.30
11.82,144.10
11.86,145.50
11.89,145.95
11.92,146.17
11.96,145.48
11.99,145.48
12.03,146.16
12.06,144.79
12.10,146.15
12.13,146.42
12.17,145.50
12.20,145.68
12.24,148.93
12.27,148.93
12.31,148.50
12.34,147.64
12.38,146.26
12.41,148.56
12.45,149.24
12.48,148.33
12.52,148.24
12.55,148.43
12.59,148.88
12.62,149.34
12.66,149.45
12.69,149.00
12.73,148.93
12.76,149.30
12.80,148.39
12.83,148.50
12.87,148.81
12.90,149.11
12.94,149.42
12.97,148.39
13.01,148.84
13.04,149.59
13.08,150.19
13.11,149.73
13.15,148.24
13.18,149.50
13.22,149.05
13.25,149.74
13.28,148.98
13.32,148.22
13.35,147.45
13.39,148.24
13.42,148.24
13.46,147.92
13.49,147.64
13.53,148.10
13.56,147.93
13.60,147.47
13.63,147.01
13.67,146.55
13.70,147.48
13.74,147.02
13.77,148.24
13.81,148.24
13.84,148.24
13.88,148.24
13.91,148.24
13.95,148.24
13.98,147.14
14.02,148.93
14.05,148.93
14.09,148.93
14.12,148.90
14.16,148.45
14.19,148.24
14.23,148.27
14.26,148.72
14.30,148.93
14.33,148.93
14.37,148.93
14.40,148.46
14.44,148.24
14.47,147.32
14.51,146.86
14.54,146.86
14.57,146.86
14.61,147.08
14.64,147.53
14.68,148.68
14.71,148.93
14.75,148.93
14.78,147.98
14.82,146.86
14.85,146.86
14.89,146.86
14.92,146.86
14.96,146.86
14.99,147.83
15.03,148.58
15.06,147.67
15.10,147.74
15.13,148.24
15.17,148.24
15.20,147.85
15.24,147.40
15.27,146.94
15.31,146.48
15.34,146.17
15.38,146.17
15.41,146.54
15.45,146.73
15.48,146.27
15.52,146.17
15.55,147.43
15.59,146.97
15.62,146.53
15.66,148.01
15.69,147.10
15.73,147.54
15.76,148.14
15.80,147.68
15.83,146.53
15.87,146.17
15.90,146.17
15.93,146.81
15.97,147.03
16.00,147.95
16.04,147.93
16.07,147.48
16.11,147.02
16.14,147.46
16.18,147.92
16.21,145.63
16.25,146.06
16.28,146.92
16.32,147.37
16.35,145.35
16.39,146.21
16.42,146.67
16.46,147.13
16.49,147.59
16.53,148.05
16.56,146.43
16.60,146.91
16.63,147.83
16.67,147.74
16.70,147.52
16.74,146.61
16.77,146.65
16.81,147.55
16.84,147.09
16.88,146.86
16.91,146.86
16.95,146.86
16.98,146.86
17.02,146.86
17.05,147.30
17.09,147.55
17.12,147.55
17.16,147.47
17.19,146.86
17.22,146.86
17.26,147.28
17.29,147.36
17.33,146.91
17.36,147.03
17.40,147.21
17.43,147.39
17.47,147.57
17.50,147.76
17.54,147.94
17.57,148.12
17.61,148.08
17.64,147.63
17.68,146.48
17.71,146.32
17.75,146.78
17.78,146.98
17.82,147.14
17.85,147.29
17.89,147.44
17.92,147.42
17.96,146.97
17.99,147.92
18.03,147.67
18.06,148.13
18.10,148.59
18.13,147.44
18.17,146.99
18.20,147.58
18.24,147.06
18.27,147.97
18.31,147.92
18.34,145.14
18.38,146.97
18.41,146.30
18.45,146.94
18.48,147.40
18.52,148.63
18.55,147.48
18.58,147.03
18.62,146.86
18.65,146.86
18.69,146.86
18.72,147.14
18.76,147.50
18.79,147.05
18.83,146.86
18.86,146.86
18.90,146.86
18.93,146.86
18.97,146.89
19.00,147.35
19.04,147.55
19.07,147.55
19.11,147.55
19.14,147.55
19.18,147.54
19.21,147.09
19.25,146.86
19.28,146.86
19.32,146.86
19.35,147.08
19.39,147.54
19.42,147.55
19.46,147.76
19.49,148.22
19.53,146.93
